Jogador,Probabilidade de Marcar (%)
Raphinha (Brazil),22.73
Vinícius Júnior (Brazil),22.27
Gabriel Martinelli (Brazil),19.98
Mohamed Salah (Egypt),19.29
Matheus Cunha (Brazil),18.01
Ibrahim Adel (Egypt),12.5
Danilo Oliveira (Brazil),11.74
Zizo (Egypt),11.41
Reservas/Outros (Brazil),10.49
Endrick (Brazil),9.67
Igor Thiago (Brazil),8.36
Luiz Henrique (Brazil),7.7
Bremer (Brazil),7.24
Mahmoud Trézéguet (Egypt),7.05
Rayan (Brazil),6.3
Casemiro (Brazil),6.28
Omar Marmoush (Egypt),5.86
Bruno Guimarães (Brazil),5.77
Reservas/Outros (Egypt),5.14
Marquinhos (Brazil),4.87
Hamdy Fathy (Egypt),4.17
Gabriel Magalhães (Brazil),3.15
Rami Rabia (Egypt),2.72
Mohamed Abdelmonem (Egypt),2.48
Ahmed Fatouh (Egypt),1.66
Fabinho (Brazil),1.41
Alex Sandro (Brazil),1.41
Yasser Ibrahim (Egypt),1.39
Weverton (Brazil),1.38
Danilo (Brazil),1.34
