Placar,Probabilidade (%)
1x0,13.6
2x0,11.74
1x1,11.13
2x1,9.65
0x0,7.62
3x0,6.82
0x1,6.26
3x1,5.65
1x2,4.4
2x2,3.96
4x0,2.96
0x2,2.68
4x1,2.36
3x2,2.19
1x3,1.28
2x3,1.03
4x2,0.96
5x0,0.96
5x1,0.84
0x3,0.72
3x3,0.6
5x2,0.36
6x0,0.33
1x4,0.27
4x3,0.25
6x1,0.24
2x4,0.21
0x4,0.15
3x4,0.11
5x3,0.1
6x2,0.09
4x4,0.06
7x0,0.05
7x1,0.05
1x5,0.04
2x5,0.03
7x2,0.03
0x5,0.03
3x5,0.02
8x1,0.02
6x3,0.02
5x4,0.02
4x5,0.01
8x0,0.01
8x2,0.01
2x6,0.01
7x3,0.0
9x1,0.0
5x6,0.0
9x0,0.0
4x7,0.0
0x6,0.0
3x6,0.0
8x3,0.0
5x5,0.0
1x6,0.0
2x8,0.0
6x4,0.0
1x7,0.0
