Jogador,Probabilidade de Marcar (%)
Raphinha (Brazil),59.83
Vinícius Júnior (Brazil),39.58
Mahmoud Trézéguet (Egypt),25.66
Omar Marmoush (Egypt),21.52
Igor Thiago (Brazil),14.62
Luiz Henrique (Brazil),14.13
Casemiro (Brazil),11.06
Rami Rabia (Egypt),10.18
Bruno Guimarães (Brazil),10.02
Marquinhos (Brazil),8.97
Zizo (Egypt),7.98
Reservas/Outros (Brazil),6.09
Gabriel Magalhães (Brazil),5.68
Yasser Ibrahim (Egypt),5.07
Marwan Attia (Egypt),5.06
Reservas/Outros (Egypt),3.14
Douglas Santos (Brazil),1.23
Alisson (Brazil),1.22
Wesley (Brazil),1.18
Mohamed Hany (Egypt),0.68
Mostafa Shobeir (Egypt),0.65
Karim Hafez (Egypt),0.62
Emam Ashour (Egypt),0.6
Mohanad Lasheen (Egypt),0.59
