Placar,Probabilidade (%)
1x0,13.31
2x0,11.83
1x1,10.99
2x1,9.59
0x0,7.78
3x0,6.83
0x1,6.45
3x1,5.58
1x2,4.49
2x2,3.89
4x0,2.98
0x2,2.68
4x1,2.43
3x2,2.18
1x3,1.2
5x0,1.03
2x3,1.03
4x2,0.93
5x1,0.88
0x3,0.74
3x3,0.65
5x2,0.32
4x3,0.27
6x0,0.27
1x4,0.25
6x1,0.23
2x4,0.21
0x4,0.17
3x4,0.13
6x2,0.1
5x3,0.1
7x0,0.08
4x4,0.06
7x1,0.06
1x5,0.04
5x4,0.03
6x3,0.03
2x5,0.03
7x2,0.03
3x5,0.02
0x5,0.02
4x5,0.01
8x0,0.01
1x6,0.01
7x3,0.01
8x2,0.01
9x1,0.01
2x6,0.01
8x1,0.01
5x5,0.01
6x4,0.01
0x7,0.0
10x0,0.0
11x0,0.0
3x7,0.0
9x2,0.0
7x4,0.0
5x6,0.0
3x6,0.0
0x6,0.0
10x1,0.0
7x6,0.0
3x8,0.0
