Jogador,Probabilidade de Dar Assistência (%)
Matheus Cunha (Brazil),30.4
Zizo (Egypt),19.76
Vinícius Júnior (Brazil),15.39
Luiz Henrique (Brazil),14.5
Endrick (Brazil),13.56
Bruno Guimarães (Brazil),12.24
Raphinha (Brazil),10.89
Mohamed Salah (Egypt),8.51
Mahmoud Trézéguet (Egypt),7.26
Casemiro (Brazil),6.03
Marwan Attia (Egypt),5.78
Mohamed Hany (Egypt),5.69
Ibrahim Adel (Egypt),4.12
Douglas Santos (Brazil),3.75
Igor Thiago (Brazil),3.68
Hamdy Fathy (Egypt),3.16
Fabinho (Brazil),2.83
Alex Sandro (Brazil),2.82
Léo Pereira (Brazil),2.81
Rayan (Brazil),2.8
Bremer (Brazil),2.8
Roger Ibañez (Brazil),2.8
Weverton (Brazil),2.79
Danilo Oliveira (Brazil),2.78
Gabriel Martinelli (Brazil),2.76
Ahmed Fatouh (Egypt),2.36
Rami Rabia (Egypt),1.65
Gabriel Magalhães (Brazil),0.83
Alisson (Brazil),0.8
Marquinhos (Brazil),0.79
