Jogador,Probabilidade de Marcar (%)
Raphinha (Brazil),29.85
Vinícius Júnior (Brazil),20.01
Gabriel Martinelli (Brazil),19.86
Matheus Cunha (Brazil),18.07
Mohamed Salah (Egypt),17.84
Ibrahim Adel (Egypt),11.91
Danilo Oliveira (Brazil),11.68
Zizo (Egypt),10.65
Reservas/Outros (Brazil),9.84
Endrick (Brazil),9.52
Omar Marmoush (Egypt),8.02
Bremer (Brazil),7.3
Igor Thiago (Brazil),7.24
Luiz Henrique (Brazil),7.07
Mahmoud Trézéguet (Egypt),6.54
Rayan (Brazil),6.13
Casemiro (Brazil),5.64
Bruno Guimarães (Brazil),5.11
Reservas/Outros (Egypt),4.89
Marquinhos (Brazil),4.35
Hamdy Fathy (Egypt),3.88
Mostafa Ziko (Egypt),3.15
Gabriel Magalhães (Brazil),2.85
Rami Rabia (Egypt),2.68
Mohamed Abdelmonem (Egypt),2.34
Ahmed Fatouh (Egypt),1.55
Léo Pereira (Brazil),1.45
Weverton (Brazil),1.4
Alex Sandro (Brazil),1.39
Fabinho (Brazil),1.38
