Placar,Probabilidade (%)
1x0,13.69
2x0,11.73
1x1,10.9
2x1,9.57
0x0,7.78
3x0,6.69
0x1,6.46
3x1,5.57
1x2,4.51
2x2,3.87
4x0,2.93
0x2,2.6
4x1,2.45
3x2,2.31
1x3,1.22
5x0,1.02
2x3,1.01
4x2,0.95
5x1,0.84
0x3,0.71
3x3,0.64
5x2,0.32
6x0,0.31
1x4,0.25
4x3,0.24
6x1,0.23
2x4,0.21
0x4,0.16
3x4,0.13
6x2,0.11
5x3,0.09
7x0,0.07
4x4,0.06
7x1,0.06
1x5,0.05
2x5,0.03
7x2,0.03
6x3,0.03
5x4,0.02
8x0,0.02
3x5,0.02
0x5,0.02
8x1,0.02
8x2,0.01
0x6,0.01
7x3,0.01
4x5,0.01
7x4,0.0
2x7,0.0
8x3,0.0
9x1,0.0
1x7,0.0
10x2,0.0
1x6,0.0
2x6,0.0
4x6,0.0
9x0,0.0
6x4,0.0
6x6,0.0
9x3,0.0
9x2,0.0
3x6,0.0
5x5,0.0
6x5,0.0
