Jogador,Probabilidade de Marcar (%)
Vinícius Júnior (Brazil),53.65
Raphinha (Brazil),39.38
Lucas Paquetá (Brazil),26.09
Mahmoud Trézéguet (Egypt),25.89
Omar Marmoush (Egypt),21.57
Casemiro (Brazil),10.77
Rami Rabia (Egypt),10.41
Igor Thiago (Brazil),9.82
Bruno Guimarães (Brazil),9.77
Marquinhos (Brazil),8.84
Zizo (Egypt),8.13
Reservas/Outros (Brazil),5.86
Gabriel Magalhães (Brazil),5.56
Yasser Ibrahim (Egypt),5.15
Marwan Attia (Egypt),5.08
Reservas/Outros (Egypt),3.04
Douglas Santos (Brazil),1.2
Alisson (Brazil),1.16
Wesley (Brazil),1.15
Emam Ashour (Egypt),0.65
Karim Hafez (Egypt),0.64
Mostafa Shobeir (Egypt),0.6
Mohamed Hany (Egypt),0.58
Mohanad Lasheen (Egypt),0.56
