Placar,Probabilidade (%)
1x0,13.46
2x0,11.83
1x1,10.92
2x1,9.45
0x0,7.83
3x0,6.69
0x1,6.42
3x1,5.45
1x2,4.52
2x2,3.92
4x0,2.93
0x2,2.59
4x1,2.46
3x2,2.3
1x3,1.28
2x3,1.09
5x0,1.01
4x2,1.0
5x1,0.86
0x3,0.77
3x3,0.66
5x2,0.31
6x0,0.29
1x4,0.27
4x3,0.26
6x1,0.25
2x4,0.22
0x4,0.15
3x4,0.14
6x2,0.1
5x3,0.1
7x0,0.07
7x1,0.06
4x4,0.04
1x5,0.04
2x5,0.04
6x3,0.04
0x5,0.03
3x5,0.02
7x2,0.02
8x1,0.02
5x4,0.02
8x0,0.01
2x6,0.01
6x4,0.01
8x2,0.01
9x0,0.01
4x5,0.01
7x3,0.0
10x1,0.0
4x7,0.0
7x4,0.0
9x2,0.0
8x5,0.0
6x5,0.0
1x7,0.0
0x6,0.0
2x7,0.0
3x6,0.0
1x6,0.0
5x5,0.0
9x1,0.0
4x8,0.0
