Confronto,Placar Mais Provável,Frequência (%)
Algeria x Austria,0 x 1,10.100000000000001
Algeria x Jordan,2 x 1,9.9
Argentina x Algeria,1 x 0,16.900000000000002
Argentina x Austria,1 x 0,19.900000000000002
Argentina x Jordan,1 x 0,18.3
Australia x Türkiye,1 x 0,14.399999999999999
Austria x Jordan,1 x 0,13.25
Belgium x Egypt,1 x 1,13.4
Belgium x Iran,2 x 1,9.2
Belgium x New Zealand,1 x 0,16.150000000000002
Bosnia & Herzegovina x Qatar,1 x 1,10.0
Bosnia & Herzegovina x Switzerland,1 x 2,9.049999999999999
Brazil x Haiti,1 x 1,12.0
Brazil x Morocco,0 x 1,17.25
Brazil x Scotland,1 x 1,11.25
Cabo Verde x Saudi Arabia,1 x 1,12.1
Cabo Verde x Uruguay,0 x 1,13.15
Canada x Bosnia & Herzegovina,2 x 1,9.9
Canada x Qatar,2 x 1,11.25
Canada x Switzerland,1 x 1,10.85
Croatia x Ghana,1 x 1,10.549999999999999
Croatia x Panama,2 x 1,9.950000000000001
Curaçao x Côte d'Ivoire,0 x 1,12.35
Curaçao x Ecuador,0 x 0,17.95
Côte d'Ivoire x Ecuador,0 x 0,26.900000000000002
DR Congo x Colombia,0 x 1,14.95
DR Congo x Uzbekistan,1 x 1,14.05
Egypt x Iran,1 x 1,12.35
Egypt x New Zealand,1 x 0,20.7
England x Croatia,2 x 1,11.75
England x Ghana,2 x 0,16.150000000000002
England x Panama,1 x 0,13.8
France x Iraq,1 x 1,11.65
France x Norway,1 x 1,10.7
France x Senegal,1 x 1,11.5
Germany x Curaçao,1 x 1,10.8
Germany x Côte d'Ivoire,1 x 1,13.100000000000001
Germany x Ecuador,0 x 0,19.35
Ghana x Panama,0 x 1,11.75
Haiti x Scotland,1 x 1,12.049999999999999
Iran x New Zealand,2 x 0,13.4
Iraq x Norway,1 x 1,11.0
Japan x Sweden,2 x 0,13.350000000000001
Japan x Tunisia,1 x 0,16.150000000000002
Mexico x Czechia,1 x 0,12.65
Mexico x South Africa,0 x 0,16.55
Mexico x South Korea,0 x 0,17.8
Morocco x Haiti,1 x 0,15.45
Morocco x Scotland,1 x 0,15.6
Netherlands x Japan,0 x 1,12.2
Netherlands x Sweden,2 x 1,9.6
Netherlands x Tunisia,1 x 1,12.45
Paraguay x Australia,0 x 0,23.25
Paraguay x Türkiye,0 x 1,17.0
Portugal x Colombia,1 x 1,12.45
Portugal x DR Congo,1 x 1,12.25
Portugal x Uzbekistan,1 x 1,9.65
Qatar x Switzerland,1 x 2,9.55
Saudi Arabia x Uruguay,0 x 1,22.8
Senegal x Iraq,1 x 0,13.25
Senegal x Norway,1 x 1,11.450000000000001
South Africa x Czechia,1 x 1,11.35
South Africa x South Korea,1 x 1,13.600000000000001
South Korea x Czechia,1 x 1,12.5
Spain x Cabo Verde,3 x 1,7.75
Spain x Saudi Arabia,2 x 0,12.4
Spain x Uruguay,1 x 1,12.4
Sweden x Tunisia,1 x 1,12.0
USA x Australia,0 x 1,13.450000000000001
USA x Paraguay,1 x 0,16.25
USA x Türkiye,1 x 1,11.700000000000001
Uzbekistan x Colombia,1 x 1,13.200000000000001
