Seleção,Chance 1º (%),Chance 2º (%),Chance 3º (%),Chance 4º (%),Chance Classificação (Top2 + Melhores 3ºs) (%),Média Pontos
Japan,64.1,24.0,9.15,2.75,95.65,6.4535
Morocco,60.550000000000004,25.650000000000002,10.6,3.2,95.05,6.2855
England,62.2,25.2,9.75,2.85,95.0,6.4235
Spain,63.7,22.650000000000002,10.2,3.45,94.45,6.2945
Argentina,56.3,27.500000000000004,12.950000000000001,3.25,94.39999999999999,6.152
Belgium,39.7,33.6,21.85,4.8500000000000005,90.5,5.565
Iran,38.95,31.55,24.0,5.5,89.3,5.3775
Switzerland,41.6,30.85,17.95,9.6,86.8,5.4325
Australia,45.0,28.299999999999997,17.7,9.0,86.65,5.3395
Canada,37.1,30.349999999999998,19.900000000000002,12.65,82.75,5.195
Senegal,34.25,29.599999999999998,22.7,13.450000000000001,80.7,4.848
Côte d'Ivoire,34.2,29.75,21.05,15.0,79.45,4.77
Croatia,21.6,38.05,28.449999999999996,11.899999999999999,79.0,4.55
Norway,31.65,29.4,23.400000000000002,15.55,78.55,4.7285
Portugal,37.55,25.85,20.349999999999998,16.25,78.55,4.7875
Egypt,20.4,30.349999999999998,39.0,10.25,78.35,4.504
Netherlands,21.4,38.75,25.95,13.900000000000002,78.10000000000001,4.5495
South Korea,33.45,28.499999999999996,21.349999999999998,16.7,77.64999999999999,4.669
Austria,22.400000000000002,33.45,29.7,14.45,76.9,4.462
Uruguay,20.200000000000003,38.550000000000004,26.450000000000003,14.799999999999999,76.4,4.5015
Colombia,29.25,26.5,24.9,19.35,73.55000000000001,4.4845
Germany,30.65,26.25,23.799999999999997,19.3,73.5,4.3285
USA,26.8,27.1,26.5,19.6,72.55,4.2975
France,26.8,25.6,26.85,20.75,71.89999999999999,4.3415
Mexico,27.35,26.05,24.6,22.0,70.95,4.24
Haiti,17.7,32.7,30.65,18.95,70.6,4.0415
Brazil,17.7,28.599999999999998,31.05,22.650000000000002,68.0,3.925
Algeria,16.75,26.6,32.9,23.75,64.64999999999999,3.7645
Ecuador,20.349999999999998,25.3,28.349999999999998,26.0,64.0,3.8455
Uzbekistan,18.4,24.75,28.15,28.7,62.2,3.77
Czechia,20.549999999999997,23.599999999999998,25.0,30.85,61.85000000000001,3.7465
Türkiye,19.0,24.75,27.35,28.9,61.8,3.75
South Africa,18.65,21.85,29.049999999999997,30.45,59.4,3.632
Panama,11.799999999999999,25.0,38.1,25.1,59.050000000000004,3.528
Tunisia,10.6,24.5,36.05,28.849999999999998,58.35,3.4385
DR Congo,14.799999999999999,22.900000000000002,26.6,35.699999999999996,54.6,3.4225
Cabo Verde,10.299999999999999,23.150000000000002,32.95,33.6,52.55,3.2465
Curaçao,14.799999999999999,18.7,26.8,39.7,51.65,3.213
Bosnia & Herzegovina,10.85,18.75,30.65,39.75,49.1,3.0455
Qatar,10.45,20.05,31.5,38.0,49.05,3.092
Paraguay,9.2,19.85,28.449999999999996,42.5,45.35,2.8895
Iraq,7.3,15.4,27.05,50.24999999999999,39.25,2.647
Saudi Arabia,5.800000000000001,15.65,30.4,48.15,37.15,2.501
Scotland,4.05,13.05,27.700000000000003,55.2,33.1,2.323
Sweden,3.9,12.75,28.849999999999998,54.50000000000001,31.45,2.2085
Jordan,4.55,12.45,24.45,58.550000000000004,29.349999999999998,2.161
Ghana,4.3999999999999995,11.75,23.7,60.150000000000006,28.849999999999998,2.162
New Zealand,0.95,4.5,15.15,79.4,12.0,1.26
