Jogador,Gols_Simulados,Gols_Medios_Torneio
Harry Kane (England),4741,2.3705
Kylian Mbappé (France),4438,2.219
Mehdi Taremi (Iran),4400,2.2
Erling Haaland (Norway),4202,2.101
Jonathan David (Canada),3712,1.856
Mikel Oyarzabal (Spain),2976,1.488
Andrej Kramarić (Croatia),2769,1.3845
Cristiano Ronaldo (Portugal),2722,1.361
Edin Džeko (Bosnia & Herzegovina),2633,1.3165
Sadio Mané (Senegal),2545,1.2725
Romelu Lukaku (Belgium),2525,1.2625
Breel Embolo (Switzerland),2499,1.2495
Ayase Ueda (Japan),2461,1.2305
Brahim Díaz (Morocco),2458,1.229
Mohamed Salah (Egypt),2430,1.215
Frantzdy Pierrot (Haiti),2310,1.155
Son Heung-min (South Korea),2301,1.1505
Mohammad Mohebi (Iran),2294,1.147
Viktor Gyökeres (Sweden),2257,1.1285
Duckens Nazon (Haiti),2215,1.1075
Almoez Ali (Qatar),2170,1.085
Kevin De Bruyne (Belgium),2165,1.0825
Memphis Depay (Netherlands),2092,1.046
Cody Gakpo (Netherlands),2082,1.041
Lautaro Martínez (Argentina),2077,1.0385
Aymen Hussein (Iraq),2073,1.0365
Lionel Messi (Argentina),2053,1.0265
Jordan Ayew (Ghana),2048,1.024
Luis Díaz (Colombia),2006,1.003
Ayoub El Kaabi (Morocco),1979,0.9895
