Confronto,Placar Mais Provável,Frequência (%)
Algeria x Austria,1 x 1,12.4
Algeria x Jordan,2 x 1,10.19
Argentina x Algeria,2 x 0,17.18
Argentina x Austria,2 x 0,19.54
Argentina x Jordan,3 x 0,15.35
Australia x Türkiye,1 x 1,13.5
Austria x Jordan,2 x 0,10.91
Belgium x Egypt,1 x 0,12.45
Belgium x Iran,1 x 1,9.52
Belgium x New Zealand,2 x 0,15.43
Bosnia & Herzegovina x Qatar,1 x 1,9.76
Bosnia & Herzegovina x Switzerland,1 x 2,9.04
Brazil x Haiti,1 x 1,10.55
Brazil x Morocco,0 x 1,15.34
Brazil x Scotland,1 x 1,11.08
Cabo Verde x Saudi Arabia,1 x 0,12.47
Cabo Verde x Uruguay,1 x 1,13.01
Canada x Bosnia & Herzegovina,2 x 1,9.26
Canada x Qatar,2 x 1,9.56
Canada x Switzerland,1 x 1,10.16
Croatia x Ghana,1 x 1,9.84
Croatia x Panama,2 x 1,9.23
Curaçao x Côte d'Ivoire,1 x 1,11.46
Curaçao x Ecuador,0 x 0,16.2
Côte d'Ivoire x Ecuador,0 x 0,22.96
DR Congo x Colombia,0 x 1,14.11
DR Congo x Uzbekistan,1 x 1,12.66
Egypt x Iran,1 x 1,11.01
Egypt x New Zealand,1 x 0,17.81
England x Croatia,1 x 0,11.26
England x Ghana,1 x 0,16.25
England x Panama,2 x 0,12.53
France x Iraq,2 x 1,9.96
France x Norway,1 x 2,8.58
France x Senegal,0 x 2,11.51
Germany x Curaçao,2 x 1,8.93
Germany x Côte d'Ivoire,1 x 1,12.18
Germany x Ecuador,1 x 0,16.27
Ghana x Panama,1 x 1,11.19
Haiti x Scotland,1 x 1,10.69
Iran x New Zealand,2 x 0,11.64
Iraq x Norway,1 x 2,9.69
Japan x Sweden,2 x 0,11.88
Japan x Tunisia,1 x 0,16.81
Mexico x Czechia,1 x 1,12.6
Mexico x South Africa,1 x 0,14.3
Mexico x South Korea,0 x 1,14.08
Morocco x Haiti,1 x 0,14.46
Morocco x Scotland,2 x 0,16.0
Netherlands x Japan,1 x 2,10.3
Netherlands x Sweden,2 x 1,8.71
Netherlands x Tunisia,1 x 1,11.42
Paraguay x Australia,0 x 1,22.73
Paraguay x Türkiye,0 x 1,16.06
Portugal x Colombia,2 x 0,10.34
Portugal x DR Congo,2 x 0,11.9
Portugal x Uzbekistan,3 x 0,8.21
Qatar x Switzerland,1 x 1,9.0
Saudi Arabia x Uruguay,0 x 1,18.82
Senegal x Iraq,2 x 0,14.13
Senegal x Norway,1 x 0,10.79
South Africa x Czechia,1 x 1,11.38
South Africa x South Korea,1 x 1,13.38
South Korea x Czechia,1 x 1,11.24
Spain x Cabo Verde,2 x 1,8.41
Spain x Saudi Arabia,2 x 0,10.38
Spain x Uruguay,1 x 1,11.04
Sweden x Tunisia,1 x 1,10.97
USA x Australia,1 x 1,11.97
USA x Paraguay,1 x 0,13.67
USA x Türkiye,1 x 2,8.28
Uzbekistan x Colombia,1 x 1,12.66
