Seleção,Chance 1º (%),Chance 2º (%),Chance 3º (%),Chance 4º (%),Chance Classificação (Top2 + Melhores 3ºs) (%),Média Pontos
Argentina,91.12,7.79,1.0,0.09,99.84,8.05
Portugal,83.76,11.97,3.14,1.13,98.49,7.44
Senegal,68.43,21.99,7.53,2.05,97.03,6.86
Japan,66.63,22.75,8.33,2.29,96.62,6.67
England,65.7,23.55,8.3,2.45,96.34,6.67
Morocco,66.76,22.54,8.04,2.66,96.24,6.63
Spain,61.34,23.84,10.53,4.29,93.89,6.27
Belgium,40.74,32.63,22.49,4.14,92.08,5.63
Türkiye,49.87,28.56,15.25,6.32,90.54,5.72
Iran,35.7,32.19,26.86,5.25,89.69,5.33
Switzerland,45.49,29.43,16.98,8.1,88.93,5.59
Côte d'Ivoire,40.66,28.12,19.55,11.67,84.0,5.08
Canada,35.29,32.73,20.12,11.86,83.77,5.11
Egypt,22.7,31.73,37.01,8.56,82.14,4.69
Australia,28.9,34.17,24.67,12.26,80.78,4.78
Croatia,21.84,39.16,24.62,14.38,78.67,4.54
Norway,19.04,39.03,28.2,13.73,78.1,4.45
South Korea,33.96,27.18,21.27,17.59,77.81,4.69
Netherlands,19.19,37.48,27.95,15.38,77.29,4.38
Germany,30.94,28.19,22.86,18.01,76.43,4.53
Austria,5.16,46.38,34.4,14.06,71.63,3.9
Haiti,16.22,33.94,29.57,20.27,70.99,4.03
Mexico,25.54,26.69,25.79,21.98,70.91,4.22
Uruguay,17.33,32.5,30.47,19.7,69.99,4.06
Cabo Verde,16.72,28.98,31.2,23.1,67.02,3.89
USA,17.12,26.25,33.36,23.27,66.07,3.83
Brazil,12.65,29.45,33.15,24.75,64.68,3.66
Algeria,3.35,35.93,40.58,20.14,63.03,3.46
South Africa,19.98,23.29,26.93,29.8,62.42,3.75
Czechia,20.52,22.84,26.01,30.63,62.33,3.71
Ecuador,16.17,24.74,31.04,28.05,62.3,3.66
France,9.91,27.37,37.98,24.74,62.04,3.54
Tunisia,10.19,26.95,36.27,26.59,60.73,3.49
Colombia,6.44,32.65,32.02,28.89,56.8,3.31
Panama,7.86,22.27,35.98,33.89,52.53,3.11
Uzbekistan,4.93,28.53,31.82,34.72,50.97,3.04
Bosnia & Herzegovina,9.6,19.33,31.45,39.62,50.06,3.04
Qatar,9.62,18.51,31.45,40.42,49.05,3.01
DR Congo,4.87,26.85,33.02,35.26,48.99,2.96
Curaçao,12.23,18.95,26.55,42.27,48.89,3.02
Ghana,4.6,15.02,31.1,49.28,37.6,2.42
Scotland,4.37,14.07,29.24,52.32,35.64,2.34
Saudi Arabia,4.61,14.68,27.8,52.91,35.61,2.39
Sweden,3.99,12.82,27.45,55.74,31.79,2.21
Paraguay,4.11,11.02,26.72,58.15,30.33,2.16
Iraq,2.62,11.61,26.29,59.48,28.39,2.0
Jordan,0.37,9.9,24.02,65.71,19.36,1.59
New Zealand,0.86,3.45,13.64,82.05,11.17,1.16
