Jogador,Gols_Simulados,Gols_Medios_Torneio
Harry Kane (England),25774,2.58
Cristiano Ronaldo (Portugal),24672,2.47
Mehdi Taremi (Iran),23372,2.34
Erling Haaland (Norway),22671,2.27
Kylian Mbappé (France),21261,2.13
Jonathan David (Canada),19213,1.92
Sadio Mané (Senegal),19177,1.92
Lionel Messi (Argentina),18764,1.88
Lautaro Martínez (Argentina),17992,1.8
Bruno Fernandes (Portugal),16111,1.61
Mikel Oyarzabal (Spain),15204,1.52
Andrej Kramarić (Croatia),14662,1.47
Brahim Díaz (Morocco),13673,1.37
Breel Embolo (Switzerland),13696,1.37
Romelu Lukaku (Belgium),13666,1.37
Mohamed Salah (Egypt),13582,1.36
Ayase Ueda (Japan),13616,1.36
Edin Džeko (Bosnia & Herzegovina),13479,1.35
Frantzdy Pierrot (Haiti),12785,1.28
Mohammad Mohebi (Iran),12650,1.26
Duckens Nazon (Haiti),12476,1.25
Son Heung-min (South Korea),12463,1.25
Viktor Gyökeres (Sweden),12232,1.22
Jordan Ayew (Ghana),12085,1.21
Kevin De Bruyne (Belgium),11641,1.16
Almoez Ali (Qatar),11572,1.16
Ayoub El Kaabi (Morocco),11492,1.15
João Félix (Portugal),11483,1.15
Kai Havertz (Germany),11228,1.12
Memphis Depay (Netherlands),10895,1.09
