Seleção,Passa 1ª Fase (%),Oitavas (%),Quartas (%),Semifinal (%),Final (%),Campeão (%)
Argentina,92.93,77.32,59.87,37.74,37.74,22.43
Spain,87.57,65.99,54.97,36.14,36.14,21.62
France,94.19,74.39,54.81,31.5,31.5,17.36
England,91.12,56.72,36.08,19.96,19.96,10.7
Mexico,67.96,32.22,18.31,8.82,8.82,3.99
Brazil,50.51,37.67,17.95,8.48,8.48,3.7
Japan,49.49,36.68,17.4,8.07,8.07,3.54
Colombia,84.02,58.89,22.47,9.65,9.65,3.54
Netherlands,55.45,45.54,18.02,7.52,7.52,2.9
Portugal,65.89,22.57,15.22,6.78,6.78,2.85
Morocco,44.55,33.45,12.44,4.77,4.77,1.8
Senegal,53.45,42.13,12.35,4.19,4.19,1.33
Germany,77.98,21.51,10.67,3.65,3.65,1.11
Belgium,46.55,34.63,9.28,2.89,2.89,0.92
Australia,57.94,13.86,6.15,1.87,1.87,0.51
Croatia,34.11,7.52,4.08,1.22,1.22,0.36
Norway,69.68,19.89,5.51,1.52,1.52,0.35
Switzerland,63.35,25.71,6.29,1.67,1.67,0.33
Ecuador,32.04,9.34,3.44,1.01,1.01,0.27
Canada,66.94,15.87,2.56,0.49,0.49,0.09
Austria,12.43,3.92,1.76,0.38,0.38,0.08
Egypt,42.06,6.6,2.34,0.5,0.5,0.07
United States,73.37,19.99,2.22,0.3,0.3,0.05
Ivory Coast,30.32,5.77,1.05,0.19,0.19,0.03
Algeria,36.65,10.91,1.85,0.34,0.34,0.03
Paraguay,22.02,2.57,0.63,0.09,0.09,0.02
Ghana,15.98,4.49,0.55,0.07,0.07,0.01
Congo DR,8.88,1.73,0.27,0.04,0.04,0.01
Cape Verde,7.07,2.21,0.48,0.09,0.09,0.01
South Africa,33.06,5.13,0.54,0.06,0.06,0.0
Sweden,5.81,1.52,0.33,0.03,0.03,0.0
Bosnia-Herzegovina,26.63,3.26,0.13,0.01,0.01,0.0
