Confronto,Placar,Probabilidade (%)
Argentina x Cape Verde,1x0,21.8
Argentina x Cape Verde,2x0,21.23
Argentina x Cape Verde,3x0,13.72
Australia x Egypt,0x0,18.29
Australia x Egypt,1x0,17.85
Australia x Egypt,0x1,13.15
Belgium x Senegal,1x1,13.16
Belgium x Senegal,0x1,12.39
Belgium x Senegal,1x0,10.72
Brazil x Japan,0x1,14.13
Brazil x Japan,0x0,14.04
Brazil x Japan,1x0,13.54
Colombia x Ghana,1x0,21.78
Colombia x Ghana,2x0,17.33
Colombia x Ghana,0x0,13.82
England x Congo DR,2x0,18.32
England x Congo DR,1x0,17.44
England x Congo DR,3x0,13.08
France x Sweden,3x0,8.76
France x Sweden,4x0,8.46
France x Sweden,3x1,7.5
Germany x Paraguay,1x0,16.07
Germany x Paraguay,2x0,13.78
Germany x Paraguay,1x1,10.5
Ivory Coast x Norway,0x1,11.84
Ivory Coast x Norway,1x1,11.5
Ivory Coast x Norway,0x2,9.92
Mexico x Ecuador,0x0,31.56
Mexico x Ecuador,1x0,24.98
Mexico x Ecuador,0x1,11.18
Netherlands x Morocco,1x1,12.28
Netherlands x Morocco,1x0,9.85
Netherlands x Morocco,2x1,8.76
Portugal x Croatia,1x1,10.45
Portugal x Croatia,2x1,9.8
Portugal x Croatia,1x0,9.14
South Africa x Canada,1x1,10.84
South Africa x Canada,1x2,9.78
South Africa x Canada,0x1,9.39
Spain x Austria,2x0,13.24
Spain x Austria,3x0,10.84
Spain x Austria,1x0,10.81
Switzerland x Algeria,1x1,10.6
Switzerland x Algeria,2x1,9.57
Switzerland x Algeria,1x0,8.43
United States x Bosnia-Herzegovina,2x1,8.7
United States x Bosnia-Herzegovina,3x1,7.43
United States x Bosnia-Herzegovina,1x1,6.89
