Jogador,Probabilidade de Marcar (%)
Vinícius Júnior (Brazil),58.01
Raphinha (Brazil),42.5
Mahmoud Trézéguet (Egypt),26.03
Omar Marmoush (Egypt),21.86
Luiz Henrique (Brazil),14.68
Casemiro (Brazil),11.79
Igor Thiago (Brazil),10.6
Bruno Guimarães (Brazil),10.55
Rami Rabia (Egypt),10.26
Marquinhos (Brazil),9.14
Zizo (Egypt),8.21
Reservas/Outros (Brazil),6.27
Gabriel Magalhães (Brazil),5.82
Yasser Ibrahim (Egypt),5.18
Marwan Attia (Egypt),5.05
Reservas/Outros (Egypt),3.14
Douglas Santos (Brazil),1.27
Wesley (Brazil),1.26
Alisson (Brazil),1.19
Emam Ashour (Egypt),0.69
Karim Hafez (Egypt),0.6
Mostafa Shobeir (Egypt),0.6
Mohanad Lasheen (Egypt),0.58
Mohamed Hany (Egypt),0.55
