Placar,Probabilidade (%)
1x0,13.38
2x0,11.49
1x1,10.96
2x1,9.68
0x0,7.77
3x0,6.77
0x1,6.49
3x1,5.51
1x2,4.49
2x2,4.02
4x0,2.92
0x2,2.7
4x1,2.48
3x2,2.25
1x3,1.25
2x3,1.11
4x2,1.02
5x0,1.0
5x1,0.78
0x3,0.74
3x3,0.61
6x0,0.31
5x2,0.31
4x3,0.27
1x4,0.26
2x4,0.26
6x1,0.23
0x4,0.16
3x4,0.11
6x2,0.1
7x0,0.09
5x3,0.09
7x1,0.07
4x4,0.05
1x5,0.04
2x5,0.03
3x5,0.03
6x3,0.03
0x5,0.02
7x2,0.02
3x6,0.01
2x6,0.01
4x5,0.01
5x4,0.01
8x1,0.01
8x0,0.01
6x4,0.01
8x2,0.01
7x3,0.01
1x6,0.01
8x3,0.0
5x5,0.0
9x0,0.0
3x7,0.0
4x6,0.0
0x6,0.0
1x7,0.0
2x7,0.0
7x4,0.0
9x2,0.0
6x5,0.0
10x2,0.0
