Confronto,Placar Mais Provável,Frequência (%)
Algeria x Austria,1 x 1,11.66
Algeria x Jordan,1 x 1,11.43
Argentina x Algeria,1 x 0,12.98
Argentina x Austria,1 x 0,14.69
Argentina x Jordan,1 x 0,12.44
Australia x Türkiye,1 x 1,13.27
Austria x Jordan,1 x 1,11.44
Belgium x Egypt,1 x 1,12.76
Belgium x Iran,1 x 1,11.03
Belgium x New Zealand,1 x 0,12.88
Bosnia & Herzegovina x Qatar,1 x 1,11.07
Bosnia & Herzegovina x Switzerland,1 x 2,9.89
Brazil x Haiti,2 x 1,9.73
Brazil x Morocco,1 x 1,13.06
Brazil x Scotland,2 x 0,10.08
Cabo Verde x Saudi Arabia,1 x 1,12.09
Cabo Verde x Uruguay,0 x 1,11.75
Canada x Bosnia & Herzegovina,2 x 1,9.68
Canada x Qatar,1 x 1,10.07
Canada x Switzerland,1 x 1,10.67
Croatia x Ghana,1 x 0,10.91
Croatia x Panama,1 x 1,9.82
Curaçao x Côte d'Ivoire,1 x 1,11.76
Curaçao x Ecuador,0 x 1,15.31
Côte d'Ivoire x Ecuador,0 x 0,14.52
DR Congo x Colombia,0 x 1,13.0
DR Congo x Uzbekistan,1 x 1,12.41
Egypt x Iran,1 x 1,11.33
Egypt x New Zealand,1 x 0,13.74
England x Croatia,1 x 1,13.14
England x Ghana,1 x 0,15.11
England x Panama,1 x 0,12.39
France x Iraq,2 x 1,9.59
France x Norway,1 x 1,10.88
France x Senegal,1 x 1,12.24
Germany x Curaçao,2 x 1,10.12
Germany x Côte d'Ivoire,1 x 1,12.49
Germany x Ecuador,1 x 0,13.14
Ghana x Panama,1 x 1,12.26
Haiti x Scotland,1 x 1,11.09
Iran x New Zealand,2 x 1,9.68
Iraq x Norway,1 x 1,10.61
Japan x Sweden,2 x 0,10.77
Japan x Tunisia,1 x 0,13.87
Mexico x Czechia,1 x 0,12.97
Mexico x South Africa,1 x 0,14.48
Mexico x South Korea,1 x 1,13.31
Morocco x Haiti,1 x 0,12.55
Morocco x Scotland,1 x 0,13.76
Netherlands x Japan,1 x 1,12.06
Netherlands x Sweden,2 x 1,9.76
Netherlands x Tunisia,1 x 1,11.82
Paraguay x Australia,0 x 1,16.55
Paraguay x Türkiye,1 x 1,13.14
Portugal x Colombia,1 x 1,10.97
Portugal x DR Congo,1 x 1,11.53
Portugal x Uzbekistan,1 x 1,10.13
Qatar x Switzerland,1 x 2,9.92
Saudi Arabia x Uruguay,0 x 1,16.18
Senegal x Iraq,1 x 0,12.59
Senegal x Norway,1 x 1,12.18
South Africa x Czechia,1 x 1,11.84
South Africa x South Korea,1 x 1,12.13
South Korea x Czechia,1 x 1,11.39
Spain x Cabo Verde,2 x 1,8.84
Spain x Saudi Arabia,2 x 0,10.86
Spain x Uruguay,1 x 1,10.5
Sweden x Tunisia,1 x 1,12.35
USA x Australia,1 x 1,12.43
USA x Paraguay,1 x 1,12.51
USA x Türkiye,1 x 1,10.64
Uzbekistan x Colombia,1 x 1,11.25
