Seleção,Chance 1º (%),Chance 2º (%),Chance 3º (%),Chance 4º (%),Chance Classificação (Top2 + Melhores 3ºs) (%),Média Pontos
Spain,64.41,23.93,8.84,2.82,95.56,6.53
Argentina,52.89,26.49,13.94,6.68,90.51,5.84
Japan,49.57,28.38,15.41,6.64,90.22,5.75
Switzerland,46.67,29.44,16.48,7.41,88.82,5.67
Brazil,43.33,31.85,17.0,7.82,88.35,5.51
Morocco,40.02,33.82,17.75,8.41,87.57,5.41
England,43.7,30.66,16.95,8.69,87.05,5.47
Canada,35.18,33.9,19.76,11.16,83.59,5.13
Belgium,38.16,29.43,21.17,11.24,83.5,5.11
Mexico,39.07,28.77,19.78,12.38,82.8,5.1
Croatia,35.94,31.81,20.76,11.49,82.74,5.04
France,37.96,28.39,21.65,12.0,82.55,5.06
Netherlands,31.18,33.62,23.0,12.2,81.43,4.87
Germany,36.47,26.68,22.2,14.65,79.74,4.83
Uruguay,23.39,40.95,23.25,12.41,79.3,4.7
Colombia,35.18,27.66,21.61,15.55,78.61,4.84
USA,35.79,26.5,21.37,16.34,78.17,4.75
Iran,31.05,29.46,23.98,15.51,77.82,4.7
South Korea,31.62,28.75,23.4,16.23,77.28,4.66
Senegal,28.53,29.2,26.28,15.99,76.4,4.59
Portugal,32.31,27.07,22.34,18.28,75.92,4.63
Norway,27.2,28.72,27.47,16.61,75.56,4.51
Côte d'Ivoire,29.12,27.54,24.87,18.47,74.73,4.47
Austria,24.09,31.82,25.67,18.42,73.64,4.37
Ecuador,24.28,27.99,27.53,20.2,71.34,4.25
Egypt,23.9,27.51,28.6,19.99,70.97,4.26
Australia,26.4,26.62,24.98,22.0,69.68,4.23
Uzbekistan,18.66,24.5,27.72,29.12,61.79,3.76
Türkiye,19.85,23.62,26.05,30.48,60.68,3.73
Paraguay,17.96,23.26,27.6,31.18,59.45,3.63
Algeria,14.35,23.9,31.52,30.23,58.71,3.52
South Africa,16.76,23.24,28.43,31.57,58.53,3.55
Tunisia,11.69,21.78,33.63,32.9,54.2,3.31
Panama,12.35,21.26,31.61,34.78,53.21,3.29
DR Congo,13.85,20.77,28.33,37.05,52.81,3.3
Czechia,12.55,19.24,28.39,39.82,49.87,3.14
Qatar,9.06,18.67,31.34,40.93,46.76,2.95
Bosnia & Herzegovina,9.09,17.99,32.42,40.5,46.65,2.95
Scotland,8.83,18.4,32.38,40.39,46.18,2.93
Cabo Verde,7.37,19.35,35.16,38.12,45.84,2.94
Jordan,8.67,17.79,28.87,44.67,43.99,2.81
Curaçao,10.13,17.79,25.4,46.68,43.59,2.85
Haiti,7.82,15.93,32.87,43.38,42.73,2.77
Ghana,8.01,16.27,30.68,45.04,42.66,2.75
Sweden,7.56,16.22,27.96,48.26,39.9,2.67
Saudi Arabia,4.83,15.77,32.75,46.65,37.73,2.52
New Zealand,6.89,13.6,26.25,53.26,36.13,2.49
Iraq,6.31,13.69,24.6,55.4,34.74,2.43
