Jogador,Gols_Simulados,Gols_Medios_Torneio
Kylian Mbappé (France),25892,2.59
Erling Haaland (Norway),20919,2.09
Harry Kane (England),20127,2.01
Mehdi Taremi (Iran),19685,1.97
Jonathan David (Canada),18185,1.82
Mikel Oyarzabal (Spain),15431,1.54
Andrej Kramarić (Croatia),14418,1.44
Cristiano Ronaldo (Portugal),14197,1.42
Breel Embolo (Switzerland),13004,1.3
Mohamed Salah (Egypt),12603,1.26
Sadio Mané (Senegal),12500,1.25
Luis Díaz (Colombia),12482,1.25
Son Heung-min (South Korea),12402,1.24
Edin Džeko (Bosnia & Herzegovina),11888,1.19
Romelu Lukaku (Belgium),11866,1.19
Jordan Ayew (Ghana),11943,1.19
Kai Havertz (Germany),11758,1.18
Viktor Gyökeres (Sweden),11770,1.18
Brahim Díaz (Morocco),11628,1.16
Raúl Jiménez (Mexico),11477,1.15
Lionel Messi (Argentina),11325,1.13
Ali Olwan (Jordan),11230,1.12
Ayase Ueda (Japan),11169,1.12
Lautaro Martínez (Argentina),11018,1.1
Almoez Ali (Qatar),10876,1.09
Aymen Hussein (Iraq),10876,1.09
Darwin Núñez (Uruguay),10635,1.06
Memphis Depay (Netherlands),10485,1.05
Mohammad Mohebi (Iran),10447,1.04
Enner Valencia (Ecuador),10373,1.04
