Jogador,Assists_Simuladas,Assists_Medias_Torneio
Takefusa Kubo (Japan),14059,1.41
Junya Ito (Japan),13739,1.37
Lamine Yamal (Spain),13356,1.34
Achraf Hakimi (Morocco),12556,1.26
James Rodríguez (Colombia),12402,1.24
Ivan Perišić (Croatia),11523,1.15
Akram Afif (Qatar),11367,1.14
Salem Al-Dawsari (Saudi Arabia),10858,1.09
Ali Abdi (Tunisia),10708,1.07
Denzel Dumfries (Netherlands),9833,0.98
Saman Ghoddos (Iran),9682,0.97
Jordan Ayew (Ghana),9602,0.96
Joshua Kimmich (Germany),9477,0.95
Mikel Oyarzabal (Spain),9367,0.94
Mehdi Taremi (Iran),9131,0.91
Kylian Mbappé (France),8933,0.89
Kang-in Lee (South Korea),8941,0.89
Declan Rice (England),8774,0.88
Ali Ahmed (Canada),8618,0.86
Vinícius Júnior (Brazil),8493,0.85
Rubén Vargas (Switzerland),8496,0.85
Ali Jasim (Iraq),8296,0.83
Remo Freuler (Switzerland),8342,0.83
Bruno Fernandes (Portugal),8225,0.82
Oswin Appollis (South Africa),7923,0.79
Marc Guéhi (England),7946,0.79
Mahmoud Al-Mardi (Jordan),7795,0.78
Jonathan David (Canada),7829,0.78
Lucas Paquetá (Brazil),7714,0.77
Zizo (Egypt),7743,0.77
