Jogador,Gols_Fase_Grupos,Média_Gols_Mata_Mata,Média_Gols_Copa_Total
Lionel Messi (Argentina),6,8.0,14.0
Kylian Mbappé (France),4,7.0,11.0
Desconhecido (United States),0,7.0,7.0
Ousmane Dembélé (France),4,3.0,7.0
Mikel Oyarzabal (Spain),2,4.0,6.0
Matheus Cunha (Brazil),3,3.0,6.0
Vinícius Júnior (Brazil),4,2.0,6.0
Erling Haaland (Norway),4,1.0,5.0
Ismaïla Sarr (Senegal),3,2.0,5.0
Deniz Undav (Germany),3,1.0,4.0
Jonathan David (Canada),3,1.0,4.0
Cody Gakpo (Netherlands),2,2.0,4.0
Virgil van Dijk (Netherlands),1,2.0,3.0
Crysencio Summerville (Netherlands),2,1.0,3.0
Rubén Vargas (Switzerland),2,1.0,3.0
Cristiano Ronaldo (Portugal),2,1.0,3.0
Harry Kane (England),2,1.0,3.0
Bradley Barcola (France),1,1.0,2.0
Breel Embolo (Switzerland),0,2.0,2.0
Mikel Merino (Spain),0,2.0,2.0
Ferran Torres (Spain),0,2.0,2.0
Felix Nmecha (Germany),1,1.0,2.0
Habib Diarra (Senegal),1,1.0,2.0
Iliman Ndiaye (Senegal),1,1.0,2.0
Kai Havertz (Germany),1,1.0,2.0
Luis Díaz (Colombia),1,1.0,2.0
Romelu Lukaku (Belgium),1,1.0,2.0
Leroy Sané (Germany),1,1.0,2.0
Rafael Leão (Portugal),1,1.0,2.0
João Neves (Portugal),1,1.0,2.0
Marcus Rashford (England),1,1.0,2.0
Thelo Aasgaard (Norway),1,1.0,2.0
Jhon Arias (Colombia),0,1.0,1.0
Aleksandar Pavlović (Germany),0,1.0,1.0
Davinson Sánchez (Colombia),0,1.0,1.0
Jefferson Lerma (Colombia),0,1.0,1.0
Dayot Upamecano (France),0,1.0,1.0
Outros (Geral) (Spain),0,1.0,1.0
Dani Olmo (Spain),0,1.0,1.0
Jhon Córdoba (Colombia),0,1.0,1.0
