Jogador,Assists_Fase_Grupos,Média_Assists_Mata_Mata,Média_Assists_Copa_Total
Bruno Guimarães (Brazil),3,3.0,6.0
Michael Olise (France),3,2.0,5.0
Adrien Rabiot (France),1,4.0,5.0
Sadio Mané (Senegal),1,2.0,3.0
Ryan Gravenberch (Netherlands),2,1.0,3.0
Roberto Alvarado (Mexico),2,1.0,3.0
Rodrigo De Paul (Argentina),1,2.0,3.0
Nicolas Jackson (Senegal),1,2.0,3.0
Lamine Yamal (Spain),0,3.0,3.0
Mohamed Salah (Egypt),2,1.0,3.0
Vinícius Júnior (Brazil),1,2.0,3.0
Denzel Dumfries (Netherlands),2,1.0,3.0
Paul Okon-Engstler (Australia),1,1.0,2.0
Johan Manzambi (Switzerland),1,1.0,2.0
Aurélien Tchouaméni (France),1,1.0,2.0
Miro Muheim (Switzerland),0,2.0,2.0
Cucho Hernández (Colombia),1,1.0,2.0
Thiago Almada (Argentina),0,2.0,2.0
Giovani Lo Celso (Argentina),0,2.0,2.0
Ousmane Dembélé (France),1,1.0,2.0
Dani Olmo (Spain),1,1.0,2.0
Pedro Neto (Portugal),1,1.0,2.0
Tijjani Reijnders (Netherlands),1,1.0,2.0
Marcos Llorente (Spain),1,1.0,2.0
Luis Díaz (Colombia),1,1.0,2.0
Facundo Medina (Argentina),1,1.0,2.0
Jude Bellingham (England),1,1.0,2.0
Andreas Schjelderup (Norway),1,1.0,2.0
Aymeric Laporte (Spain),1,1.0,2.0
Pedri (Spain),0,2.0,2.0
David Raum (Germany),0,1.0,1.0
Igor Thiago (Brazil),0,1.0,1.0
Raúl Jiménez (Mexico),0,1.0,1.0
Antonio Rüdiger (Germany),0,1.0,1.0
Jefferson Lerma (Colombia),0,1.0,1.0
Marcus Thuram (France),0,1.0,1.0
James Rodríguez (Colombia),0,1.0,1.0
Johan Mojica (Colombia),0,1.0,1.0
Maghnes Akliouche (France),0,1.0,1.0
Aubrey Modiba (South Africa),0,1.0,1.0
