Confronto,Placar,Probabilidade (%)
Argentina x Cape Verde,6x0,100.0
Australia x Egypt,1x2,100.0
Belgium x Senegal,2x2,100.0
Brazil x Japan,1x0,100.0
Colombia x Ghana,1x0,100.0
England x Congo DR,3x1,100.0
France x Sweden,7x0,100.0
Germany x Paraguay,3x0,100.0
Ivory Coast x Norway,1x2,100.0
Mexico x Ecuador,1x0,100.0
Netherlands x Morocco,3x0,100.0
Portugal x Croatia,3x0,100.0
South Africa x Canada,2x1,100.0
Spain x Austria,2x1,100.0
Switzerland x Algeria,3x0,100.0
United States x Bosnia-Herzegovina,4x0,100.0
