Jogador,Probabilidade de Dar Assistência (%)
Matheus Cunha (Brazil),30.7
Lucas Paquetá (Brazil),15.9
Vinícius Júnior (Brazil),15.0
Endrick (Brazil),13.64
Zizo (Egypt),13.15
Bruno Guimarães (Brazil),11.87
Emam Ashour (Egypt),11.11
Raphinha (Brazil),10.63
Mohamed Salah (Egypt),8.38
Mahmoud Trézéguet (Egypt),7.27
Casemiro (Brazil),5.82
Marwan Attia (Egypt),5.82
Mohamed Hany (Egypt),5.6
Douglas Santos (Brazil),3.68
Igor Thiago (Brazil),3.5
Alex Sandro (Brazil),2.93
Roger Ibañez (Brazil),2.92
Bremer (Brazil),2.88
Danilo (Brazil),2.82
Fabinho (Brazil),2.82
Rayan (Brazil),2.79
Gabriel Martinelli (Brazil),2.77
Ibrahim Adel (Egypt),2.76
Danilo Oliveira (Brazil),2.74
Weverton (Brazil),2.71
Ahmed Fatouh (Egypt),2.31
Hamdy Fathy (Egypt),2.15
Rami Rabia (Egypt),1.64
Marquinhos (Brazil),0.83
Léo Pereira (Brazil),0.79
