Jogador,Probabilidade de Marcar (%)
Raphinha (Brazil),21.76
Vinícius Júnior (Brazil),21.72
Gabriel Martinelli (Brazil),19.19
Mohamed Salah (Egypt),19.1
Matheus Cunha (Brazil),17.37
Endrick (Brazil),13.3
Lucas Paquetá (Brazil),13.26
Ibrahim Adel (Egypt),11.78
Danilo Oliveira (Brazil),11.03
Zizo (Egypt),10.6
Reservas/Outros (Brazil),9.81
Igor Thiago (Brazil),7.93
Mahmoud Trézéguet (Egypt),7.06
Bremer (Brazil),6.98
Casemiro (Brazil),6.12
Rayan (Brazil),6.06
Omar Marmoush (Egypt),5.83
Bruno Guimarães (Brazil),5.37
Reservas/Outros (Egypt),4.92
Marquinhos (Brazil),4.76
Hamdy Fathy (Egypt),3.93
Mostafa Ziko (Egypt),3.23
Rami Rabia (Egypt),2.84
Mohamed Abdelmonem (Egypt),2.36
Ahmed Fatouh (Egypt),1.71
Marwan Attia (Egypt),1.42
Yasser Ibrahim (Egypt),1.37
Fabinho (Brazil),1.37
Danilo (Brazil),1.35
Roger Ibañez (Brazil),1.33
