Placar,Probabilidade (%)
1x0,13.13
2x0,11.96
1x1,11.22
2x1,9.74
0x0,7.7
3x0,6.88
0x1,6.4
3x1,5.49
1x2,4.42
2x2,3.96
4x0,2.96
0x2,2.5
4x1,2.36
3x2,2.31
1x3,1.25
2x3,1.09
5x0,1.03
4x2,0.96
5x1,0.79
0x3,0.72
3x3,0.61
5x2,0.32
6x0,0.3
4x3,0.26
1x4,0.24
6x1,0.23
2x4,0.22
0x4,0.14
3x4,0.12
6x2,0.11
7x0,0.08
5x3,0.08
4x4,0.06
7x1,0.06
1x5,0.04
2x5,0.04
6x3,0.03
3x5,0.02
0x5,0.02
7x2,0.02
5x4,0.02
5x5,0.01
8x0,0.01
8x1,0.01
1x6,0.01
4x5,0.01
7x3,0.01
8x2,0.01
9x0,0.01
9x1,0.0
4x7,0.0
7x5,0.0
2x8,0.0
8x3,0.0
0x7,0.0
0x6,0.0
5x6,0.0
2x6,0.0
10x0,0.0
6x6,0.0
7x4,0.0
3x7,0.0
6x4,0.0
3x6,0.0
2x7,0.0
