Jogador,Probabilidade de Marcar (%)
Raphinha (Brazil),59.86
Vinícius Júnior (Brazil),39.47
Mohamed Salah (Egypt),38.4
Igor Thiago (Brazil),14.64
Mahmoud Trézéguet (Egypt),13.96
Luiz Henrique (Brazil),13.84
Omar Marmoush (Egypt),11.71
Casemiro (Brazil),11.16
Bruno Guimarães (Brazil),9.95
Marquinhos (Brazil),8.74
Reservas/Outros (Brazil),5.98
Gabriel Magalhães (Brazil),5.72
Rami Rabia (Egypt),5.57
Ahmed Fatouh (Egypt),3.38
Marwan Attia (Egypt),2.84
Yasser Ibrahim (Egypt),2.66
Reservas/Outros (Egypt),1.65
Wesley (Brazil),1.21
Alisson (Brazil),1.21
Douglas Santos (Brazil),1.17
Mohanad Lasheen (Egypt),0.37
Mohamed Hany (Egypt),0.35
Mohamed El Shenawy (Egypt),0.34
Hamdi Fathy (Egypt),0.34
