Placar,Probabilidade (%)
1x0,13.68
2x0,11.59
1x1,11.12
2x1,9.58
0x0,7.81
3x0,6.76
0x1,6.33
3x1,5.45
1x2,4.47
2x2,3.94
4x0,3.04
0x2,2.65
4x1,2.43
3x2,2.23
1x3,1.23
2x3,1.08
5x0,1.02
4x2,0.94
5x1,0.78
0x3,0.74
3x3,0.59
5x2,0.32
6x0,0.31
4x3,0.27
1x4,0.25
6x1,0.24
2x4,0.23
0x4,0.16
3x4,0.12
6x2,0.1
5x3,0.08
7x0,0.07
7x1,0.06
2x5,0.04
1x5,0.04
8x0,0.03
4x4,0.03
6x3,0.03
3x5,0.02
0x5,0.02
7x2,0.02
8x1,0.02
4x5,0.01
1x6,0.01
5x4,0.01
2x6,0.01
6x4,0.01
7x3,0.01
0x6,0.0
8x2,0.0
0x7,0.0
2x7,0.0
9x1,0.0
10x0,0.0
9x0,0.0
2x8,0.0
10x1,0.0
3x6,0.0
8x4,0.0
4x6,0.0
7x5,0.0
7x4,0.0
5x5,0.0
9x2,0.0
