Confronto,Placar Mais Provável,Frequência (%)
Algeria x Austria,1 x 1,12.3
Algeria x Jordan,2 x 0,10.63
Argentina x Algeria,1 x 0,16.88
Argentina x Austria,1 x 0,20.65
Argentina x Jordan,3 x 0,15.91
Australia x Türkiye,1 x 0,13.26
Austria x Jordan,2 x 0,11.98
Belgium x Egypt,1 x 0,13.18
Belgium x Iran,2 x 1,9.37
Belgium x New Zealand,3 x 0,14.5
Bosnia & Herzegovina x Qatar,1 x 1,10.16
Bosnia & Herzegovina x Switzerland,1 x 3,8.49
Brazil x Haiti,2 x 0,9.45
Brazil x Morocco,0 x 1,14.8
Brazil x Scotland,2 x 0,10.54
Cabo Verde x Saudi Arabia,1 x 1,12.27
Cabo Verde x Uruguay,0 x 1,14.1
Canada x Bosnia & Herzegovina,2 x 1,9.26
Canada x Qatar,2 x 1,9.8
Canada x Switzerland,1 x 1,9.61
Croatia x Ghana,3 x 0,10.63
Croatia x Panama,2 x 1,9.37
Curaçao x Côte d'Ivoire,0 x 2,11.63
Curaçao x Ecuador,0 x 1,19.31
Côte d'Ivoire x Ecuador,0 x 0,23.54
DR Congo x Colombia,0 x 1,15.18
DR Congo x Uzbekistan,1 x 1,13.18
Egypt x Iran,1 x 1,11.59
Egypt x New Zealand,2 x 0,17.89
England x Croatia,2 x 0,11.36
England x Ghana,3 x 0,15.74
England x Panama,2 x 0,13.04
France x Iraq,2 x 0,10.64
France x Norway,2 x 1,9.59
France x Senegal,1 x 1,12.17
Germany x Curaçao,3 x 0,9.49
Germany x Côte d'Ivoire,1 x 1,11.86
Germany x Ecuador,1 x 0,18.02
Ghana x Panama,1 x 1,10.68
Haiti x Scotland,1 x 1,11.5
Iran x New Zealand,3 x 0,12.47
Iraq x Norway,0 x 2,10.11
Japan x Sweden,2 x 0,12.11
Japan x Tunisia,1 x 0,17.32
Mexico x Czechia,1 x 0,12.11
Mexico x South Africa,1 x 0,17.09
Mexico x South Korea,1 x 0,14.17
Morocco x Haiti,2 x 0,16.0
Morocco x Scotland,2 x 0,16.42
Netherlands x Japan,1 x 1,11.43
Netherlands x Sweden,3 x 1,8.29
Netherlands x Tunisia,2 x 0,10.65
Paraguay x Australia,0 x 1,22.6
Paraguay x Türkiye,0 x 1,16.32
Portugal x Colombia,1 x 1,10.73
Portugal x DR Congo,2 x 0,11.2
Portugal x Uzbekistan,2 x 1,8.63
Qatar x Switzerland,1 x 2,9.01
Saudi Arabia x Uruguay,0 x 1,20.25
Senegal x Iraq,2 x 0,14.04
Senegal x Norway,1 x 1,12.07
South Africa x Czechia,1 x 1,11.52
South Africa x South Korea,0 x 1,13.57
South Korea x Czechia,1 x 1,10.81
Spain x Cabo Verde,4 x 0,8.36
Spain x Saudi Arabia,3 x 0,11.23
Spain x Uruguay,2 x 0,10.29
Sweden x Tunisia,1 x 1,11.74
USA x Australia,1 x 1,12.76
USA x Paraguay,1 x 0,14.6
USA x Türkiye,1 x 1,8.97
Uzbekistan x Colombia,1 x 1,11.77
