Seleção,Chance 1º (%),Chance 2º (%),Chance 3º (%),Chance 4º (%),Chance Classificação (Top2 + Melhores 3ºs) (%),Média Pontos
Spain,85.57,12.99,1.26,0.18,99.75,7.82
England,76.72,20.14,2.88,0.26,99.39,7.58
Morocco,77.83,18.93,2.87,0.37,99.37,7.47
Argentina,75.22,19.11,5.17,0.5,99.08,7.24
Belgium,52.8,30.89,15.94,0.37,98.52,6.47
Japan,63.39,28.24,7.01,1.36,97.78,6.8
Switzerland,61.98,27.43,8.57,2.02,96.76,6.65
Iran,31.26,37.44,30.25,1.05,95.73,5.49
Portugal,59.47,24.79,11.36,4.38,93.83,6.22
Germany,49.12,30.69,16.09,4.1,93.8,5.78
Croatia,20.55,58.64,17.59,3.22,92.89,5.37
Netherlands,30.47,47.67,16.9,4.96,91.88,5.44
France,44.64,31.1,19.38,4.88,91.79,5.71
Canada,30.91,44.85,17.37,6.87,89.16,5.38
Brazil,18.55,56.79,18.86,5.8,89.05,5.08
Senegal,33.34,33.36,26.17,7.13,87.85,5.23
Côte d'Ivoire,33.22,35.3,23.68,7.8,87.68,5.1
Egypt,15.9,31.21,49.39,3.5,87.33,4.67
Uruguay,12.68,60.49,20.42,6.41,85.74,4.83
Australia,36.06,31.91,21.93,10.1,84.66,5.09
Austria,15.17,44.11,32.99,7.73,84.3,4.6
USA,37.22,29.07,21.91,11.8,83.5,5.0
Mexico,35.98,29.7,21.81,12.51,82.89,4.98
South Korea,36.92,29.43,20.47,13.18,82.66,4.94
Colombia,24.95,36.48,24.31,14.26,79.05,4.61
Norway,20.27,29.73,36.27,13.73,77.77,4.35
Algeria,9.17,32.84,45.07,12.92,74.82,3.91
Ecuador,15.47,27.22,40.55,16.76,71.3,3.97
Türkiye,21.83,27.04,30.76,20.37,70.93,4.07
Czechia,15.21,22.04,29.11,33.64,58.12,3.42
South Africa,11.89,18.83,28.61,40.67,50.87,3.09
Panama,2.45,17.41,54.91,25.23,49.88,2.91
DR Congo,7.66,20.07,33.79,38.48,49.06,2.95
Tunisia,4.38,16.23,45.96,33.43,48.32,2.79
Uzbekistan,7.92,18.66,30.54,42.88,46.2,2.84
Qatar,4.55,16.22,41.6,37.63,45.51,2.75
Haiti,2.03,13.46,40.95,43.56,36.49,2.34
Cabo Verde,1.15,15.98,43.45,39.42,35.87,2.45
Paraguay,4.89,11.98,25.4,57.73,32.38,2.25
Bosnia & Herzegovina,2.56,11.5,32.46,53.48,31.93,2.15
Scotland,1.59,10.82,37.32,50.27,30.7,2.06
Saudi Arabia,0.6,10.54,34.87,53.99,25.05,1.86
Sweden,1.76,7.86,30.13,60.25,24.69,1.84
Curaçao,2.19,6.79,19.68,71.34,19.83,1.64
Iraq,1.75,5.81,18.18,74.26,18.2,1.48
Ghana,0.28,3.81,24.62,71.29,13.6,1.26
Jordan,0.44,3.94,16.77,78.85,11.91,1.12
New Zealand,0.04,0.46,4.42,95.08,2.13,0.43
