Jogador,Gols_Simulados,Gols_Medios_Torneio
Harry Kane (England),33656,3.37
Kylian Mbappé (France),30658,3.07
Mehdi Taremi (Iran),27416,2.74
Mikel Oyarzabal (Spain),22868,2.29
Erling Haaland (Norway),21734,2.17
Jonathan David (Canada),20487,2.05
Cristiano Ronaldo (Portugal),18973,1.9
Andrej Kramarić (Croatia),18091,1.81
Romelu Lukaku (Belgium),17851,1.79
Brahim Díaz (Morocco),17489,1.75
Breel Embolo (Switzerland),17072,1.71
Kevin De Bruyne (Belgium),15211,1.52
Kai Havertz (Germany),14853,1.49
Lionel Messi (Argentina),14774,1.48
Mohammad Mohebi (Iran),14652,1.47
Ayoub El Kaabi (Morocco),14714,1.47
Mohamed Salah (Egypt),14519,1.45
Dani Olmo (Spain),14372,1.44
Lautaro Martínez (Argentina),14196,1.42
Ayase Ueda (Japan),14162,1.42
Sadio Mané (Senegal),14117,1.41
Bukayo Saka (England),13200,1.32
Memphis Depay (Netherlands),13205,1.32
Son Heung-min (South Korea),13120,1.31
Mikel Merino (Spain),12987,1.3
Cody Gakpo (Netherlands),12866,1.29
Bruno Fernandes (Portugal),12327,1.23
Dan Ndoye (Switzerland),11552,1.16
Luis Díaz (Colombia),11462,1.15
Edin Džeko (Bosnia & Herzegovina),10970,1.1
