Jogador,Assists_Simuladas,Assists_Medias_Torneio
Lamine Yamal (Spain),19570,1.96
Achraf Hakimi (Morocco),18772,1.88
Junya Ito (Japan),17287,1.73
Takefusa Kubo (Japan),17014,1.7
Ivan Perišić (Croatia),14695,1.47
Declan Rice (England),14726,1.47
Mikel Oyarzabal (Spain),14243,1.42
Saman Ghoddos (Iran),13615,1.36
Marc Guéhi (England),13398,1.34
Mehdi Taremi (Iran),12750,1.27
Denzel Dumfries (Netherlands),12401,1.24
Joshua Kimmich (Germany),11761,1.18
Akram Afif (Qatar),11670,1.17
Nico Williams (Spain),11552,1.16
Jude Bellingham (England),11508,1.15
James Rodríguez (Colombia),11539,1.15
Jérémy Doku (Belgium),11247,1.12
Bruno Fernandes (Portugal),11239,1.12
Rubén Vargas (Switzerland),11059,1.11
Kylian Mbappé (France),10830,1.08
Remo Freuler (Switzerland),10661,1.07
Alexis Saelemaekers (Belgium),10089,1.01
Ferran Torres (Spain),9990,1.0
Fabián Ruiz (Spain),9777,0.98
Azzedine Ounahi (Morocco),9739,0.97
Ali Abdi (Tunisia),9710,0.97
Ali Ahmed (Canada),9609,0.96
Florian Wirtz (Germany),9492,0.95
Kang-in Lee (South Korea),9140,0.91
Zizo (Egypt),8974,0.9
