Confronto,Placar Mais Provável,Frequência (%)
Algeria x Austria,1 x 1,10.45
Algeria x Jordan,1 x 1,11.15
Argentina x Algeria,1 x 0,18.45
Argentina x Austria,1 x 0,20.45
Argentina x Jordan,1 x 0,17.9
Australia x Türkiye,1 x 0,14.95
Austria x Jordan,1 x 1,12.0
Belgium x Egypt,1 x 0,13.100000000000001
Belgium x Iran,1 x 1,9.55
Belgium x New Zealand,2 x 0,16.05
Bosnia & Herzegovina x Qatar,1 x 1,9.15
Bosnia & Herzegovina x Switzerland,1 x 2,8.15
Brazil x Haiti,1 x 1,11.899999999999999
Brazil x Morocco,0 x 1,15.65
Brazil x Scotland,1 x 1,11.799999999999999
Cabo Verde x Saudi Arabia,1 x 1,13.05
Cabo Verde x Uruguay,0 x 1,13.55
Canada x Bosnia & Herzegovina,1 x 1,10.05
Canada x Qatar,1 x 1,10.549999999999999
Canada x Switzerland,1 x 1,12.0
Croatia x Ghana,2 x 0,11.450000000000001
Croatia x Panama,1 x 1,9.9
Curaçao x Côte d'Ivoire,0 x 1,11.600000000000001
Curaçao x Ecuador,0 x 0,18.35
Côte d'Ivoire x Ecuador,0 x 0,26.25
DR Congo x Colombia,0 x 1,16.150000000000002
DR Congo x Uzbekistan,1 x 1,14.499999999999998
Egypt x Iran,1 x 1,12.1
Egypt x New Zealand,1 x 0,18.55
England x Croatia,1 x 1,12.0
England x Ghana,2 x 0,17.599999999999998
England x Panama,2 x 0,15.0
France x Iraq,2 x 1,10.5
France x Norway,1 x 1,10.75
France x Senegal,1 x 1,10.6
Germany x Curaçao,1 x 1,10.5
Germany x Côte d'Ivoire,1 x 1,12.15
Germany x Ecuador,0 x 0,19.25
Ghana x Panama,0 x 1,12.35
Haiti x Scotland,1 x 1,11.15
Iran x New Zealand,2 x 0,13.65
Iraq x Norway,1 x 1,10.5
Japan x Sweden,2 x 0,12.4
Japan x Tunisia,1 x 0,19.85
Mexico x Czechia,1 x 1,14.799999999999999
Mexico x South Africa,1 x 0,17.150000000000002
Mexico x South Korea,0 x 1,17.299999999999997
Morocco x Haiti,1 x 0,16.75
Morocco x Scotland,1 x 0,15.2
Netherlands x Japan,0 x 1,12.6
Netherlands x Sweden,2 x 1,8.5
Netherlands x Tunisia,1 x 1,11.15
Paraguay x Australia,0 x 1,23.9
Paraguay x Türkiye,0 x 1,15.950000000000001
Portugal x Colombia,1 x 1,13.05
Portugal x DR Congo,1 x 1,11.799999999999999
Portugal x Uzbekistan,1 x 1,9.85
Qatar x Switzerland,1 x 2,9.9
Saudi Arabia x Uruguay,0 x 1,20.0
Senegal x Iraq,1 x 0,14.7
Senegal x Norway,1 x 1,12.5
South Africa x Czechia,1 x 1,12.3
South Africa x South Korea,1 x 1,14.35
South Korea x Czechia,1 x 1,12.3
Spain x Cabo Verde,3 x 1,8.450000000000001
Spain x Saudi Arabia,2 x 0,13.15
Spain x Uruguay,1 x 0,12.2
Sweden x Tunisia,1 x 1,10.6
USA x Australia,0 x 1,14.649999999999999
USA x Paraguay,1 x 0,15.75
USA x Türkiye,1 x 1,11.5
Uzbekistan x Colombia,0 x 1,12.6
