Seleção,Chance 1º (%),Chance 2º (%),Chance 3º (%),Chance 4º (%),Chance Classificação (Top2 + Melhores 3ºs) (%),Média Pontos
Japan,62.949999999999996,25.05,9.35,2.65,95.35,6.522
England,62.35000000000001,24.7,9.8,3.15,94.75,6.4875
Argentina,56.65,28.499999999999996,11.5,3.35,94.6,6.2255
Morocco,59.550000000000004,25.35,11.600000000000001,3.5000000000000004,94.05,6.196
Spain,64.05,22.0,9.85,4.1000000000000005,93.89999999999999,6.3805
Belgium,39.85,31.7,23.35,5.1,89.55,5.595
Iran,38.3,32.65,23.799999999999997,5.25,89.45,5.4285
Australia,44.5,29.45,16.45,9.6,86.95,5.3535
Switzerland,42.75,29.349999999999998,18.5,9.4,86.9,5.381
Canada,35.6,32.95,20.5,10.95,84.35000000000001,5.151
Senegal,31.25,32.15,21.95,14.649999999999999,79.35,4.7905
Netherlands,23.0,38.0,25.3,13.700000000000001,79.2,4.598
Egypt,20.65,31.5,38.15,9.700000000000001,79.10000000000001,4.4565
Norway,34.0,27.6,23.5,14.899999999999999,78.75,4.811
Portugal,35.35,25.75,22.2,16.7,78.64999999999999,4.72
Croatia,22.25,38.800000000000004,26.25,12.7,78.60000000000001,4.551
Côte d'Ivoire,37.25,25.3,21.8,15.65,77.95,4.7035
Austria,23.799999999999997,34.35,27.650000000000002,14.2,77.64999999999999,4.445
South Korea,33.300000000000004,26.85,22.7,17.150000000000002,76.7,4.661
Uruguay,20.599999999999998,36.6,26.55,16.25,74.05000000000001,4.3475
Germany,29.349999999999998,27.0,23.549999999999997,20.1,74.0,4.351
Colombia,29.15,28.299999999999997,23.3,19.25,73.25,4.4605
France,26.75,25.900000000000002,27.800000000000004,19.55,72.1,4.353
Mexico,26.5,28.349999999999998,24.4,20.75,71.6,4.255
Haiti,19.5,32.25,29.95,18.3,71.39999999999999,4.1625
USA,26.400000000000002,27.6,24.0,22.0,70.45,4.221
Brazil,16.5,29.2,32.4,21.9,67.75,3.885
Ecuador,18.05,27.400000000000002,29.7,24.85,65.9,3.8435
Türkiye,19.5,24.6,29.95,25.95,64.60000000000001,3.8005
Algeria,14.649999999999999,25.8,34.849999999999994,24.7,64.25,3.6895
Uzbekistan,18.9,24.95,26.1,30.049999999999997,61.3,3.7575
South Africa,18.65,23.200000000000003,26.35,31.8,60.550000000000004,3.631
Czechia,21.55,21.6,26.55,30.3,60.4,3.7045
Tunisia,9.65,24.8,38.0,27.55,58.85,3.4035
Panama,11.5,25.0,36.9,26.6,58.3,3.534
DR Congo,16.6,21.0,28.4,34.0,55.85,3.483
Cabo Verde,9.85,25.2,34.2,30.75,53.6,3.2935
Curaçao,15.35,20.3,24.95,39.4,52.0,3.2575
Qatar,11.4,19.3,30.7,38.6,50.2,3.135
Bosnia & Herzegovina,10.25,18.4,30.3,41.05,48.6,3.033
Paraguay,9.6,18.35,29.599999999999998,42.449999999999996,45.75,2.897
Iraq,8.0,14.35,26.75,50.9,39.0,2.606
Saudi Arabia,5.5,16.2,29.4,48.9,36.55,2.522
Scotland,4.45,13.200000000000001,26.05,56.3,32.35,2.2825
Sweden,4.3999999999999995,12.15,27.35,56.10000000000001,30.95,2.2075
Jordan,4.9,11.35,26.0,57.75,30.3,2.1935
Ghana,3.9,11.5,27.05,57.550000000000004,28.799999999999997,2.1075
New Zealand,1.2,4.15,14.7,79.95,11.5,1.2545
