Jogador,Gols_Simulados,Gols_Medios_Torneio
Harry Kane (England),4752,2.376
Kylian Mbappé (France),4445,2.2225
Erling Haaland (Norway),4368,2.184
Mehdi Taremi (Iran),4323,2.1615
Jonathan David (Canada),3735,1.8675
Mikel Oyarzabal (Spain),2919,1.4595
Andrej Kramarić (Croatia),2753,1.3765
Cristiano Ronaldo (Portugal),2746,1.373
Edin Džeko (Bosnia & Herzegovina),2583,1.2915
Romelu Lukaku (Belgium),2560,1.28
Breel Embolo (Switzerland),2559,1.2795
Sadio Mané (Senegal),2476,1.238
Mohamed Salah (Egypt),2414,1.207
Ayase Ueda (Japan),2408,1.204
Brahim Díaz (Morocco),2394,1.197
Mohammad Mohebi (Iran),2350,1.175
Duckens Nazon (Haiti),2338,1.169
Son Heung-min (South Korea),2326,1.163
Almoez Ali (Qatar),2292,1.146
Frantzdy Pierrot (Haiti),2278,1.139
Viktor Gyökeres (Sweden),2249,1.1245
Memphis Depay (Netherlands),2184,1.092
Kevin De Bruyne (Belgium),2147,1.0735
Aymen Hussein (Iraq),2124,1.062
Lionel Messi (Argentina),2121,1.0605
Jordan Ayew (Ghana),2074,1.037
Cody Gakpo (Netherlands),2053,1.0265
Kai Havertz (Germany),2034,1.017
Ayoub El Kaabi (Morocco),2025,1.0125
Luis Díaz (Colombia),1993,0.9965
