Confronto,Placar Mais Provável,Frequência (%)
Algeria x Austria,1 x 1,12.21
Algeria x Jordan,2 x 0,9.87
Argentina x Algeria,2 x 0,17.4
Argentina x Austria,1 x 0,22.39
Argentina x Jordan,3 x 0,16.75
Australia x Türkiye,1 x 0,14.43
Austria x Jordan,2 x 0,12.14
Belgium x Egypt,1 x 0,13.93
Belgium x Iran,1 x 1,9.42
Belgium x New Zealand,3 x 0,15.15
Bosnia & Herzegovina x Qatar,1 x 1,10.47
Bosnia & Herzegovina x Switzerland,0 x 3,10.05
Brazil x Haiti,2 x 0,10.54
Brazil x Morocco,0 x 1,15.7
Brazil x Scotland,2 x 0,12.45
Cabo Verde x Saudi Arabia,1 x 1,12.88
Cabo Verde x Uruguay,0 x 1,15.2
Canada x Bosnia & Herzegovina,2 x 0,10.19
Canada x Qatar,2 x 1,9.83
Canada x Switzerland,1 x 1,10.05
Croatia x Ghana,3 x 0,11.61
Croatia x Panama,2 x 1,9.13
Curaçao x Côte d'Ivoire,0 x 2,12.28
Curaçao x Ecuador,0 x 1,19.96
Côte d'Ivoire x Ecuador,0 x 0,25.12
DR Congo x Colombia,0 x 1,17.35
DR Congo x Uzbekistan,1 x 1,13.65
Egypt x Iran,1 x 1,11.51
Egypt x New Zealand,2 x 0,17.67
England x Croatia,1 x 0,13.25
England x Ghana,2 x 0,17.01
England x Panama,2 x 0,14.99
France x Iraq,2 x 0,11.68
France x Norway,1 x 1,9.71
France x Senegal,1 x 1,12.55
Germany x Curaçao,3 x 0,10.1
Germany x Côte d'Ivoire,1 x 1,12.36
Germany x Ecuador,1 x 0,19.07
Ghana x Panama,0 x 2,10.68
Haiti x Scotland,1 x 1,11.86
Iran x New Zealand,3 x 0,12.4
Iraq x Norway,0 x 2,11.36
Japan x Sweden,2 x 0,12.95
Japan x Tunisia,1 x 0,17.81
Mexico x Czechia,1 x 0,13.86
Mexico x South Africa,1 x 0,18.96
Mexico x South Korea,1 x 0,15.16
Morocco x Haiti,2 x 0,15.12
Morocco x Scotland,2 x 0,16.9
Netherlands x Japan,0 x 1,12.38
Netherlands x Sweden,3 x 1,8.71
Netherlands x Tunisia,2 x 0,11.6
Paraguay x Australia,0 x 1,23.42
Paraguay x Türkiye,0 x 1,17.2
Portugal x Colombia,1 x 1,11.15
Portugal x DR Congo,2 x 0,12.18
Portugal x Uzbekistan,2 x 1,9.64
Qatar x Switzerland,0 x 2,9.82
Saudi Arabia x Uruguay,0 x 1,20.17
Senegal x Iraq,2 x 0,14.49
Senegal x Norway,1 x 1,12.7
South Africa x Czechia,1 x 1,12.23
South Africa x South Korea,0 x 1,14.6
South Korea x Czechia,1 x 0,10.82
Spain x Cabo Verde,4 x 0,9.2
Spain x Saudi Arabia,4 x 0,12.46
Spain x Uruguay,1 x 0,11.53
Sweden x Tunisia,1 x 1,12.49
USA x Australia,1 x 1,13.34
USA x Paraguay,1 x 0,15.41
USA x Türkiye,1 x 1,9.66
Uzbekistan x Colombia,0 x 1,12.17
