Seleção,Chance 1º (%),Chance 2º (%),Chance 3º (%),Chance 4º (%),Chance Classificação (Top2 + Melhores 3ºs) (%),Média Pontos
Spain,85.66,13.57,0.75,0.02,99.97,7.91
Argentina,80.51,15.79,3.45,0.25,99.58,7.49
England,72.51,24.24,2.95,0.3,99.42,7.42
Morocco,65.96,29.74,3.6,0.7,98.88,7.14
Japan,62.64,29.82,6.5,1.04,98.3,6.85
Belgium,54.92,30.43,14.04,0.61,98.26,6.52
Switzerland,63.31,28.17,6.85,1.67,97.31,6.78
Brazil,31.81,55.19,10.56,2.44,95.52,5.84
France,50.78,29.99,16.25,2.98,95.0,6.07
Iran,28.83,38.16,31.08,1.93,94.87,5.34
Croatia,24.41,57.24,15.8,2.55,94.6,5.56
Germany,53.29,27.17,15.88,3.66,94.37,5.95
Netherlands,32.43,49.3,14.45,3.82,93.62,5.62
Portugal,53.4,28.92,12.64,5.04,93.03,5.99
Canada,30.81,48.63,15.7,4.86,91.96,5.56
Uruguay,13.58,66.79,15.71,3.92,90.47,5.11
Senegal,30.25,37.07,26.93,5.75,89.23,5.2
Mexico,43.92,30.98,17.21,7.89,89.08,5.49
Côte d'Ivoire,27.71,34.84,29.31,8.14,86.02,4.82
Colombia,33.83,36.95,19.58,9.64,85.86,5.16
Egypt,16.2,30.67,48.59,4.54,85.78,4.59
South Korea,36.41,33.35,19.81,10.43,85.4,5.1
Austria,13.12,49.13,30.29,7.46,85.06,4.59
USA,39.75,29.33,19.65,11.27,84.83,5.09
Australia,34.26,31.08,22.52,12.14,82.41,4.92
Norway,18.03,29.01,41.15,11.81,79.44,4.31
Ecuador,17.38,32.95,37.72,11.95,78.24,4.29
Algeria,6.02,30.44,48.17,15.37,69.94,3.61
Türkiye,19.2,26.07,30.79,23.94,67.46,3.86
Czechia,10.8,18.7,31.93,38.57,51.78,3.03
Panama,2.73,15.12,56.96,25.19,51.16,2.87
South Africa,8.87,16.97,31.05,43.11,47.16,2.83
Tunisia,3.6,14.53,47.53,34.34,46.95,2.66
Uzbekistan,6.46,17.18,34.04,42.32,45.55,2.76
DR Congo,6.31,16.95,33.74,43.0,44.45,2.69
Qatar,3.42,13.17,41.5,41.91,41.54,2.49
Paraguay,6.79,13.52,27.04,52.65,37.95,2.46
Scotland,1.29,9.06,47.19,42.46,34.98,2.19
Bosnia & Herzegovina,2.46,10.03,35.95,51.56,31.8,2.12
Cabo Verde,0.4,11.34,44.89,43.37,30.52,2.19
Haiti,0.94,6.01,38.65,54.4,25.47,1.79
Saudi Arabia,0.36,8.3,38.65,52.69,23.32,1.78
Sweden,1.33,6.35,31.52,60.8,23.32,1.75
Curaçao,1.62,5.04,17.09,76.25,16.57,1.43
Ghana,0.35,3.4,24.29,71.96,13.43,1.21
Jordan,0.35,4.64,18.09,76.92,13.4,1.2
Iraq,0.94,3.93,15.67,79.46,13.3,1.23
New Zealand,0.05,0.74,6.29,92.92,3.44,0.57
