Jogador,Gols_Simulados,Gols_Medios_Torneio
Kylian Mbappé (France),31713,3.17
Harry Kane (England),30773,3.08
Mehdi Taremi (Iran),25663,2.57
Mikel Oyarzabal (Spain),23406,2.34
Erling Haaland (Norway),20904,2.09
Jonathan David (Canada),20633,2.06
Cristiano Ronaldo (Portugal),18090,1.81
Andrej Kramarić (Croatia),17705,1.77
Romelu Lukaku (Belgium),17197,1.72
Breel Embolo (Switzerland),17063,1.71
Brahim Díaz (Morocco),16491,1.65
Lionel Messi (Argentina),15908,1.59
Kai Havertz (Germany),14945,1.49
Lautaro Martínez (Argentina),14945,1.49
Dani Olmo (Spain),14808,1.48
Kevin De Bruyne (Belgium),14551,1.46
Ayase Ueda (Japan),14058,1.41
Mohamed Salah (Egypt),13869,1.39
Mikel Merino (Spain),13691,1.37
Mohammad Mohebi (Iran),13664,1.37
Ayoub El Kaabi (Morocco),13691,1.37
Sadio Mané (Senegal),13378,1.34
Son Heung-min (South Korea),13049,1.3
Memphis Depay (Netherlands),12904,1.29
Cody Gakpo (Netherlands),12642,1.26
Luis Díaz (Colombia),12177,1.22
Bukayo Saka (England),12048,1.2
Bruno Fernandes (Portugal),11857,1.19
Vinícius Júnior (Brazil),11505,1.15
Raúl Jiménez (Mexico),11383,1.14
