Jogador,Assists_Simuladas,Assists_Medias_Torneio
Lamine Yamal (Spain),20307,2.03
Achraf Hakimi (Morocco),17568,1.76
Junya Ito (Japan),17080,1.71
Takefusa Kubo (Japan),16869,1.69
Mikel Oyarzabal (Spain),14777,1.48
Ivan Perišić (Croatia),14413,1.44
Declan Rice (England),13464,1.35
Saman Ghoddos (Iran),12689,1.27
Denzel Dumfries (Netherlands),12388,1.24
James Rodríguez (Colombia),12305,1.23
Marc Guéhi (England),12219,1.22
Joshua Kimmich (Germany),11854,1.19
Mehdi Taremi (Iran),11882,1.19
Nico Williams (Spain),11697,1.17
Kylian Mbappé (France),11477,1.15
Jérémy Doku (Belgium),10816,1.08
Rubén Vargas (Switzerland),10776,1.08
Akram Afif (Qatar),10742,1.07
Jude Bellingham (England),10457,1.05
Remo Freuler (Switzerland),10469,1.05
Bruno Fernandes (Portugal),10514,1.05
Ferran Torres (Spain),10071,1.01
Fabián Ruiz (Spain),9999,1.0
Ali Ahmed (Canada),9892,0.99
Alexis Saelemaekers (Belgium),9780,0.98
Vinícius Júnior (Brazil),9662,0.97
Florian Wirtz (Germany),9394,0.94
Kang-in Lee (South Korea),9247,0.92
Azzedine Ounahi (Morocco),9188,0.92
Lionel Messi (Argentina),9097,0.91
