Confronto,Placar Mais Provável,Frequência (%)
Algeria x Austria,0 x 1,15.4
Algeria x Jordan,1 x 0,12.8
Argentina x Algeria,1 x 0,22.0
Argentina x Austria,1 x 0,28.0
Argentina x Jordan,2 x 0,19.35
Australia x Türkiye,1 x 0,20.85
Austria x Jordan,2 x 0,17.7
Belgium x Egypt,1 x 0,21.2
Belgium x Iran,1 x 0,13.4
Belgium x New Zealand,4 x 0,16.65
Bosnia & Herzegovina x Qatar,1 x 1,13.1
Bosnia & Herzegovina x Switzerland,0 x 1,13.7
Brazil x Haiti,0 x 1,16.3
Brazil x Morocco,0 x 0,20.45
Brazil x Scotland,0 x 0,15.85
Cabo Verde x Saudi Arabia,0 x 2,17.9
Cabo Verde x Uruguay,0 x 6,14.65
Canada x Bosnia & Herzegovina,1 x 1,14.1
Canada x Qatar,1 x 1,12.45
Canada x Switzerland,0 x 1,14.8
Croatia x Ghana,7 x 0,13.2
Croatia x Panama,1 x 0,13.5
Curaçao x Côte d'Ivoire,1 x 0,14.05
Curaçao x Ecuador,0 x 0,29.75
Côte d'Ivoire x Ecuador,0 x 0,35.8
DR Congo x Colombia,0 x 1,22.15
DR Congo x Uzbekistan,0 x 1,16.05
Egypt x Iran,0 x 1,12.55
Egypt x New Zealand,2 x 0,22.2
England x Croatia,1 x 0,20.75
England x Ghana,7 x 0,14.0
England x Panama,1 x 0,20.35
France x Iraq,1 x 0,17.0
France x Norway,1 x 1,13.05
France x Senegal,1 x 0,17.15
Germany x Curaçao,1 x 0,14.85
Germany x Côte d'Ivoire,1 x 0,18.05
Germany x Ecuador,0 x 0,29.7
Ghana x Panama,0 x 4,15.75
Haiti x Scotland,1 x 0,16.7
Iran x New Zealand,3 x 0,16.7
Iraq x Norway,0 x 1,16.65
Japan x Sweden,10 x 0,11.85
Japan x Tunisia,3 x 0,20.3
Mexico x Czechia,0 x 0,19.75
Mexico x South Africa,0 x 0,24.4
Mexico x South Korea,0 x 0,28.1
Morocco x Haiti,0 x 0,18.8
Morocco x Scotland,1 x 0,20.75
Netherlands x Japan,0 x 0,18.25
Netherlands x Sweden,13 x 0,9.55
Netherlands x Tunisia,3 x 0,16.6
Paraguay x Australia,0 x 0,30.9
Paraguay x Türkiye,0 x 0,25.2
Portugal x Colombia,0 x 1,17.4
Portugal x DR Congo,1 x 0,16.7
Portugal x Uzbekistan,1 x 0,15.75
Qatar x Switzerland,0 x 1,14.35
Saudi Arabia x Uruguay,0 x 1,25.4
Senegal x Iraq,0 x 1,14.15
Senegal x Norway,0 x 2,16.75
South Africa x Czechia,0 x 1,16.4
South Africa x South Korea,0 x 1,20.45
South Korea x Czechia,1 x 0,14.3
Spain x Cabo Verde,10 x 0,10.75
Spain x Saudi Arabia,3 x 0,17.8
Spain x Uruguay,0 x 0,17.8
Sweden x Tunisia,0 x 3,15.75
USA x Australia,0 x 0,21.0
USA x Paraguay,1 x 0,24.1
USA x Türkiye,1 x 0,13.8
Uzbekistan x Colombia,0 x 1,20.3
