Seleção,Chance 1º (%),Chance 2º (%),Chance 3º (%),Chance 4º (%),Chance Classificação (Top2 + Melhores 3ºs) (%),Média Pontos
England,71.55,24.55,3.9,0.0,100.0,7.46
Spain,73.4,25.95,0.65,0.0,100.0,7.44
Japan,49.75,49.65,0.6,0.0,100.0,7.33
Netherlands,50.15,48.8,1.05,0.0,100.0,6.97
Uruguay,26.4,70.3,3.3,0.0,99.8,6.49
Belgium,64.1,25.35,10.55,0.0,99.75,6.93
Croatia,24.15,55.65,20.15,0.05,99.7,5.79
Argentina,77.75,17.9,3.95,0.4,99.3,7.29
Iran,22.75,41.7,34.9,0.65,95.3,5.22
Norway,55.6,30.75,9.7,3.95,94.4,6.2
Switzerland,60.85,23.0,11.5,4.65,93.45,6.12
Germany,59.2,24.1,11.05,5.65,91.65,5.8
Colombia,46.2,33.95,14.15,5.7,91.1,5.72
Panama,4.3,19.8,75.6,0.3,90.5,4.02
Egypt,13.15,32.85,52.55,1.45,89.15,4.65
Portugal,39.25,35.95,18.3,6.5,88.75,5.3
France,35.05,40.3,17.4,7.25,87.35,5.32
Austria,15.3,50.0,28.25,6.45,85.1,4.73
South Korea,38.7,29.5,20.4,11.4,85.0,5.02
Australia,38.35,31.55,19.9,10.2,83.3,5.02
Morocco,37.0,29.85,20.95,12.2,82.9,4.94
USA,33.95,30.8,22.45,12.8,80.6,4.67
Czechia,32.65,28.65,23.6,15.1,78.2,4.62
Haiti,31.3,28.7,23.15,16.85,77.45,4.56
Türkiye,23.7,27.3,29.85,19.15,71.2,4.07
Mexico,21.75,27.75,31.25,19.25,69.8,4.0
Canada,18.1,30.75,28.95,22.2,68.9,3.95
Algeria,6.7,28.5,51.4,13.4,67.25,3.6
Bosnia & Herzegovina,14.0,27.25,31.0,27.75,62.55,3.63
Curaçao,15.6,27.9,27.55,28.95,60.7,3.56
Brazil,17.5,21.95,28.85,31.7,59.35,3.47
Côte d'Ivoire,15.7,27.05,26.4,30.85,58.3,3.41
Tunisia,0.1,1.55,97.3,1.05,55.7,3.08
Ecuador,9.5,20.95,35.0,34.55,52.4,3.12
Scotland,14.2,19.5,27.05,39.25,51.35,3.13
Saudi Arabia,0.2,3.75,89.8,6.25,46.9,2.86
Uzbekistan,9.4,16.1,37.15,37.35,46.3,2.92
Qatar,7.05,19.0,28.55,45.4,44.25,2.74
Senegal,5.2,16.9,38.4,39.5,43.05,2.63
DR Congo,5.15,14.0,30.4,50.45,35.75,2.42
South Africa,6.9,14.1,24.75,54.25,35.4,2.42
Iraq,4.15,12.05,34.5,49.3,34.85,2.35
Paraguay,4.0,10.35,27.8,57.85,31.5,2.23
Jordan,0.25,3.6,16.4,79.75,10.2,1.11
New Zealand,0.0,0.1,2.0,97.9,0.8,0.25
Cabo Verde,0.0,0.0,6.25,93.75,0.5,0.39
Sweden,0.0,0.0,1.05,98.95,0.2,0.09
Ghana,0.0,0.0,0.35,99.65,0.05,0.04
