Jogador,Gols_Simulados,Gols_Medios_Torneio
Harry Kane (England),8951,4.48
Memphis Depay (Netherlands),7107,3.55
Cody Gakpo (Netherlands),7030,3.52
Ayase Ueda (Japan),6548,3.27
Mikel Oyarzabal (Spain),6523,3.26
Andrej Kramarić (Croatia),5119,2.56
Mehdi Taremi (Iran),4538,2.27
Erling Haaland (Norway),4423,2.21
Virgil van Dijk (Netherlands),4296,2.15
Dani Olmo (Spain),4110,2.06
Kylian Mbappé (France),4099,2.05
Koki Ogawa (Japan),4056,2.03
Donyell Malen (Netherlands),4048,2.02
Keito Nakamura (Japan),3845,1.92
Darwin Núñez (Uruguay),3658,1.83
Mikel Merino (Spain),3604,1.8
Romelu Lukaku (Belgium),3534,1.77
Bukayo Saka (England),3466,1.73
Tijjani Reijnders (Netherlands),3277,1.64
Daichi Kamada (Japan),3101,1.55
Kevin De Bruyne (Belgium),3050,1.52
Rodri (Spain),2916,1.46
Wout Weghorst (Netherlands),2867,1.43
Federico Valverde (Uruguay),2707,1.35
Luka Modrić (Croatia),2667,1.33
Lionel Messi (Argentina),2570,1.28
Takefusa Kubo (Japan),2538,1.27
Mohamed Salah (Egypt),2542,1.27
Lautaro Martínez (Argentina),2504,1.25
Mohammad Mohebi (Iran),2463,1.23
