Jogador,Assists_Simuladas,Assists_Medias_Torneio
Junya Ito (Japan),7915,3.96
Takefusa Kubo (Japan),7821,3.91
Denzel Dumfries (Netherlands),6724,3.36
Lamine Yamal (Spain),5565,2.78
Cody Gakpo (Netherlands),4905,2.45
Memphis Depay (Netherlands),4358,2.18
Ivan Perišić (Croatia),4125,2.06
Mikel Oyarzabal (Spain),4083,2.04
Declan Rice (England),3792,1.9
Marc Guéhi (England),3596,1.8
Nico Williams (Spain),3134,1.57
Jude Bellingham (England),2980,1.49
Donyell Malen (Netherlands),2864,1.43
Ferran Torres (Spain),2798,1.4
Frenkie de Jong (Netherlands),2786,1.39
Fabián Ruiz (Spain),2682,1.34
Ali Abdi (Tunisia),2472,1.24
Maximiliano Araújo (Uruguay),2441,1.22
Saman Ghoddos (Iran),2304,1.15
Jérémy Doku (Belgium),2244,1.12
Marco Pašalić (Croatia),2220,1.11
Mehdi Taremi (Iran),2152,1.08
Luka Modrić (Croatia),2165,1.08
Ritsu Doan (Japan),2037,1.02
Tijjani Reijnders (Netherlands),2027,1.01
Alexis Saelemaekers (Belgium),2020,1.01
James Rodríguez (Colombia),2026,1.01
Keito Nakamura (Japan),2004,1.0
Facundo Pellistri (Uruguay),2008,1.0
Noni Madueke (England),1927,0.96
