Jogador,Probabilidade de Dar Assistência (%)
Matheus Cunha (Brazil),30.62
Lucas Paquetá (Brazil),15.93
Vinícius Júnior (Brazil),15.02
Endrick (Brazil),13.61
Zizo (Egypt),13.19
Bruno Guimarães (Brazil),11.85
Emam Ashour (Egypt),11.02
Raphinha (Brazil),10.37
Mohamed Salah (Egypt),8.26
Mahmoud Trézéguet (Egypt),7.27
Casemiro (Brazil),5.84
Marwan Attia (Egypt),5.82
Mohamed Hany (Egypt),5.57
Douglas Santos (Brazil),3.67
Igor Thiago (Brazil),3.54
Bremer (Brazil),2.87
Fabinho (Brazil),2.86
Ibrahim Adel (Egypt),2.85
Weverton (Brazil),2.84
Danilo Oliveira (Brazil),2.82
Roger Ibañez (Brazil),2.81
Gabriel Martinelli (Brazil),2.81
Rayan (Brazil),2.8
Alex Sandro (Brazil),2.78
Danilo (Brazil),2.74
Ahmed Fatouh (Egypt),2.44
Hamdy Fathy (Egypt),2.19
Rami Rabia (Egypt),1.66
Alisson (Brazil),0.78
Marquinhos (Brazil),0.78
