Jogador,Probabilidade de Marcar (%)
Raphinha (Brazil),21.39
Vinícius Júnior (Brazil),20.72
Mohamed Salah (Egypt),19.21
Gabriel Martinelli (Brazil),18.99
Matheus Cunha (Brazil),17.24
Endrick (Brazil),13.18
Lucas Paquetá (Brazil),12.69
Ibrahim Adel (Egypt),11.23
Danilo Oliveira (Brazil),11.1
Zizo (Egypt),10.28
Reservas/Outros (Brazil),9.76
Igor Thiago (Brazil),7.73
Bremer (Brazil),7.04
Mahmoud Trézéguet (Egypt),7.0
Rayan (Brazil),6.06
Casemiro (Brazil),5.92
Omar Marmoush (Egypt),5.77
Bruno Guimarães (Brazil),5.26
Reservas/Outros (Egypt),4.74
Marquinhos (Brazil),4.59
Hamdy Fathy (Egypt),3.74
Gabriel Magalhães (Brazil),3.05
Mostafa Ziko (Egypt),3.0
Rami Rabia (Egypt),2.77
Mahmoud Saber (Egypt),2.71
Mohamed Abdelmonem (Egypt),2.23
Ahmed Fatouh (Egypt),1.61
Yasser Ibrahim (Egypt),1.43
Marwan Attia (Egypt),1.39
Fabinho (Brazil),1.36
