Placar,Probabilidade (%)
1x0,13.52
2x0,11.61
1x1,11.0
2x1,9.55
0x0,7.91
3x0,6.83
0x1,6.32
3x1,5.59
1x2,4.5
2x2,3.94
4x0,2.98
0x2,2.66
4x1,2.39
3x2,2.21
1x3,1.24
2x3,1.08
4x2,1.01
5x0,1.01
5x1,0.84
0x3,0.72
3x3,0.58
5x2,0.35
6x0,0.3
4x3,0.25
6x1,0.23
1x4,0.22
2x4,0.21
0x4,0.16
3x4,0.13
5x3,0.09
6x2,0.09
7x0,0.07
7x1,0.06
4x4,0.06
1x5,0.04
2x5,0.04
0x5,0.03
7x2,0.03
6x3,0.03
5x4,0.02
3x5,0.02
4x5,0.01
2x6,0.01
1x6,0.01
0x6,0.01
8x0,0.01
8x1,0.01
8x2,0.01
8x3,0.0
4x6,0.0
9x2,0.0
9x0,0.0
6x4,0.0
11x0,0.0
7x4,0.0
7x3,0.0
5x5,0.0
10x2,0.0
5x6,0.0
6x5,0.0
