Seleção,Chance 1º (%),Chance 2º (%),Chance 3º (%),Chance 4º (%),Chance Classificação (Top2 + Melhores 3ºs) (%),Média Pontos
Spain,80.81,17.81,1.23,0.15,99.78,7.71
England,65.49,27.51,6.01,1.0,98.14,6.9
Morocco,53.1,37.32,8.27,1.3,97.61,6.52
Argentina,71.11,20.92,6.32,1.65,97.55,6.84
Japan,56.51,33.24,8.39,1.87,96.91,6.51
Switzerland,62.61,26.25,8.72,2.43,96.41,6.62
Brazil,41.97,44.13,11.89,2.02,96.11,6.07
France,52.39,28.51,15.15,3.96,93.9,6.02
Germany,56.01,26.41,13.23,4.35,93.82,5.96
Belgium,47.36,31.07,17.73,3.85,93.51,5.88
Netherlands,37.33,44.25,14.18,4.25,92.99,5.71
Mexico,51.47,29.72,13.64,5.17,92.61,5.91
Uruguay,18.16,65.48,13.22,3.15,92.44,5.41
Croatia,28.94,48.82,17.47,4.77,91.5,5.41
Portugal,46.04,32.02,15.2,6.75,90.48,5.66
Iran,33.22,34.15,25.64,6.99,88.64,5.19
Colombia,40.33,34.32,17.42,7.94,88.37,5.45
Canada,27.86,42.36,20.86,8.92,86.44,5.1
South Korea,32.65,35.7,21.07,10.58,84.96,5.01
Senegal,26.94,35.64,28.32,9.1,84.37,4.88
USA,40.42,26.66,18.97,13.95,82.0,4.97
Austria,18.01,40.94,27.77,13.28,78.99,4.41
Ecuador,21.68,34.15,30.33,13.84,77.74,4.41
Egypt,17.98,29.24,38.94,13.84,76.41,4.23
Australia,28.64,28.8,24.64,17.92,75.93,4.46
Norway,18.75,29.33,36.93,14.99,75.88,4.21
Côte d'Ivoire,18.78,29.48,33.42,18.32,72.9,4.04
Türkiye,18.24,23.73,27.6,30.43,61.88,3.64
Algeria,8.05,25.74,38.02,28.19,58.76,3.27
Paraguay,12.69,20.82,28.79,37.71,53.35,3.19
Panama,4.48,17.4,48.84,29.29,51.72,2.92
South Africa,8.86,18.69,33.95,38.5,50.54,2.96
Scotland,4.03,14.12,52.6,29.25,50.27,2.82
Uzbekistan,7.59,18.11,34.78,39.52,48.0,2.88
Qatar,5.74,17.8,37.39,39.07,46.9,2.8
Czechia,7.01,15.89,31.34,45.76,43.96,2.66
Tunisia,3.72,12.88,42.76,40.64,42.23,2.51
DR Congo,6.04,15.55,32.6,45.8,42.15,2.62
Bosnia & Herzegovina,3.8,13.59,33.03,49.58,37.27,2.36
Jordan,2.83,12.4,27.88,56.88,31.49,2.08
Sweden,2.44,9.63,34.68,53.24,30.82,2.06
Curaçao,3.53,9.96,23.02,63.5,27.47,1.96
Saudi Arabia,0.56,8.59,44.05,46.8,26.55,1.94
Cabo Verde,0.48,8.12,41.5,49.9,24.32,1.93
Ghana,1.1,6.27,27.69,64.94,21.08,1.6
Iraq,1.93,6.52,19.6,71.96,19.83,1.58
Haiti,0.91,4.43,27.24,67.43,18.02,1.47
New Zealand,1.44,5.54,17.69,75.32,17.01,1.44
