Jogador,Gols_Simulados,Gols_Medios_Torneio
Kylian Mbappé (France),129931,2.6
Harry Kane (England),129957,2.6
Mehdi Taremi (Iran),117709,2.35
Brahim Díaz (Morocco),110935,2.22
Erling Haaland (Norway),110022,2.2
Breel Embolo (Switzerland),100913,2.02
Jonathan David (Canada),97825,1.96
Cristiano Ronaldo (Portugal),93214,1.86
Ayase Ueda (Japan),85540,1.71
Mohamed Salah (Egypt),77795,1.56
Mikel Oyarzabal (Spain),78051,1.56
Romelu Lukaku (Belgium),76014,1.52
Son Heung-min (South Korea),74881,1.5
Raúl Jiménez (Mexico),70244,1.4
Sadio Mané (Senegal),69729,1.39
Cody Gakpo (Netherlands),69570,1.39
Lionel Messi (Argentina),68892,1.38
Almoez Ali (Qatar),67504,1.35
Mikel Merino (Spain),64405,1.29
Viktor Gyökeres (Sweden),64626,1.29
Edin Džeko (Bosnia & Herzegovina),60069,1.2
Andrej Kramarić (Croatia),53724,1.07
Michael Gregoritsch (Austria),53446,1.07
Luis Díaz (Colombia),51316,1.03
Scott McTominay (Scotland),50793,1.02
Memphis Depay (Netherlands),49359,0.99
Mohamed Amoura (Algeria),48852,0.98
Vinícius Júnior (Brazil),45843,0.92
Enner Valencia (Ecuador),45700,0.91
Aymen Hussein (Iraq),44469,0.89
