Jogador,Assists_Simuladas,Assists_Medias_Torneio
Lamine Yamal (Spain),52204,1.04
Mikel Oyarzabal (Spain),45941,0.92
Junya Ito (Japan),43191,0.86
Takefusa Kubo (Japan),40230,0.8
James Rodríguez (Colombia),39621,0.79
Akram Afif (Qatar),36289,0.73
Achraf Hakimi (Morocco),33464,0.67
Remo Freuler (Switzerland),33477,0.67
Nico Williams (Spain),33074,0.66
Declan Rice (England),31590,0.63
Rubén Vargas (Switzerland),31018,0.62
Joshua Kimmich (Germany),30584,0.61
Fabián Ruiz (Spain),30231,0.6
Ivan Perišić (Croatia),30063,0.6
Kylian Mbappé (France),29637,0.59
Azzedine Ounahi (Morocco),27332,0.55
Saman Ghoddos (Iran),26361,0.53
Dan Ndoye (Switzerland),26191,0.52
Denzel Dumfries (Netherlands),25390,0.51
Lucas Paquetá (Brazil),25541,0.51
Kang-in Lee (South Korea),25599,0.51
Jude Bellingham (England),24689,0.49
Ali Ahmed (Canada),24394,0.49
Bruno Fernandes (Portugal),24337,0.49
Luiz Henrique (Brazil),24013,0.48
Jérémy Doku (Belgium),23930,0.48
Ferran Torres (Spain),23025,0.46
Pedri (Spain),22946,0.46
Jonathan David (Canada),22717,0.45
Vinícius Júnior (Brazil),22413,0.45
