Jogador,Gols_Fase_Grupos,Média_Gols_Mata_Mata,Média_Gols_Copa_Total
Lionel Messi (Argentina),6,6.0,12.0
Kylian Mbappé (France),4,5.0,9.0
Desconhecido (United States),0,6.0,6.0
Ayase Ueda (Japan),2,3.0,5.0
Cody Gakpo (Netherlands),2,3.0,5.0
Brian Brobbey (Netherlands),3,2.0,5.0
Jude Bellingham (England),2,2.0,4.0
Harry Kane (England),2,2.0,4.0
Deniz Undav (Germany),3,1.0,4.0
Mikel Oyarzabal (Spain),2,2.0,4.0
Raúl Jiménez (Mexico),1,3.0,4.0
Cristiano Ronaldo (Portugal),2,2.0,4.0
Daichi Kamada (Japan),2,1.0,3.0
Nestory Irankunda (Australia),1,2.0,3.0
Leandro Trossard (Belgium),2,1.0,3.0
Rubén Vargas (Switzerland),2,1.0,3.0
Crysencio Summerville (Netherlands),2,1.0,3.0
Cyle Larin (Canada),2,1.0,3.0
Virgil van Dijk (Netherlands),1,2.0,3.0
Álvaro Fidalgo (Mexico),1,1.0,2.0
Martin Ødegaard (Norway),0,2.0,2.0
Jamal Musiala (Germany),1,1.0,2.0
Kai Havertz (Germany),1,1.0,2.0
Nicolás González (Argentina),0,2.0,2.0
Antoine Semenyo (Ghana),0,2.0,2.0
Memphis Depay (Netherlands),0,2.0,2.0
Ibrahim Mbaye (Senegal),1,1.0,2.0
Desconhecido (Bosnia-Herzegovina),0,2.0,2.0
Leroy Sané (Germany),1,1.0,2.0
Lisandro Martínez (Argentina),0,1.0,1.0
Thiago Almada (Argentina),0,1.0,1.0
Shogo Taniguchi (Japan),0,1.0,1.0
Giuliano Simeone (Argentina),0,1.0,1.0
Nadiem Amiri (Germany),0,1.0,1.0
Donyell Malen (Netherlands),0,1.0,1.0
Brahim Díaz (Morocco),0,1.0,1.0
Nikola Vlašić (Croatia),0,1.0,1.0
Thomas Meunier (Belgium),0,1.0,1.0
Yéremy Pino (Spain),0,1.0,1.0
Antonio Rüdiger (Germany),0,1.0,1.0
