Jogador,Assists_Fase_Grupos,Média_Assists_Mata_Mata,Média_Assists_Copa_Total
Ryan Gravenberch (Netherlands),2,2.0,4.0
Denzel Dumfries (Netherlands),2,2.0,4.0
Michael Olise (France),3,1.0,4.0
Roberto Alvarado (Mexico),2,2.0,4.0
Leandro Paredes (Argentina),0,3.0,3.0
Nadiem Amiri (Germany),1,2.0,3.0
Bukayo Saka (England),2,1.0,3.0
Pape Gueye (Senegal),1,1.0,2.0
Virgil van Dijk (Netherlands),1,1.0,2.0
Ajdin Hrustić (Australia),0,2.0,2.0
Ernest Nuamah (Ghana),1,1.0,2.0
Brandon Thomas-Asante (Ghana),1,1.0,2.0
Xaver Schlager (Austria),1,1.0,2.0
Johan Manzambi (Switzerland),1,1.0,2.0
David Møller Wolfe (Norway),1,1.0,2.0
Luis Romo (Mexico),1,1.0,2.0
Hans Vanaken (Belgium),1,1.0,2.0
Cody Gakpo (Netherlands),1,1.0,2.0
Rayan Cherki (France),0,2.0,2.0
Lautaro Martínez (Argentina),0,2.0,2.0
Crysencio Summerville (Netherlands),1,1.0,2.0
Memphis Depay (Netherlands),1,1.0,2.0
Tijjani Reijnders (Netherlands),1,1.0,2.0
Francisco Conceição (Portugal),0,1.0,1.0
Ao Tanaka (Japan),0,1.0,1.0
Leroy Sané (Germany),0,1.0,1.0
Daichi Kamada (Japan),0,1.0,1.0
Nicolás González (Argentina),0,1.0,1.0
Nahuel Molina (Argentina),0,1.0,1.0
Nicolás Tagliafico (Argentina),0,1.0,1.0
Charles De Ketelaere (Belgium),0,1.0,1.0
Nico Williams (Spain),0,1.0,1.0
Jonathan David (Canada),0,1.0,1.0
Outros (Geral) (England),0,1.0,1.0
Oscar Bobb (Norway),0,1.0,1.0
Jamal Musiala (Germany),0,1.0,1.0
Miguel Almirón (Paraguay),0,1.0,1.0
Marcus Thuram (France),0,1.0,1.0
Kristoffer Nordfeldt (Sweden),0,1.0,1.0
Outros (Geral) (Japan),0,1.0,1.0
