Confronto,Placar,Probabilidade (%)
Argentina x Cape Verde,1x0,100.0
Australia x Egypt,2x0,100.0
Belgium x Senegal,1x1,100.0
Brazil x Japan,0x1,100.0
Colombia x Ghana,0x2,100.0
England x Congo DR,3x1,100.0
France x Sweden,4x1,100.0
Germany x Paraguay,2x1,100.0
Ivory Coast x Norway,1x2,100.0
Mexico x Ecuador,0x0,100.0
Netherlands x Morocco,2x1,100.0
Portugal x Croatia,1x1,100.0
South Africa x Canada,0x1,100.0
Spain x Austria,1x1,100.0
Switzerland x Algeria,0x0,100.0
United States x Bosnia-Herzegovina,2x2,100.0
