Seleção,Oitavas (%),Quartas (%),Semifinal (%),Final (%),Campeão (%)
Spain,86.45,64.7,46.44,32.01,22.23
Argentina,77.97,55.43,37.65,24.77,15.83
England,74.41,48.17,29.34,17.16,9.66
France,68.24,43.77,26.05,14.65,7.69
Japan,70.12,43.8,25.41,13.9,7.19
Morocco,67.73,40.17,22.51,11.76,5.73
Portugal,59.16,33.1,16.97,8.08,3.43
Colombia,56.84,31.79,16.32,7.83,3.35
Netherlands,58.98,32.17,16.04,7.46,3.07
Brazil,60.42,32.03,16.01,7.36,2.95
Germany,59.9,32.34,15.76,7.0,2.8
Senegal,49.06,26.06,12.77,5.77,2.32
Mexico,55.16,27.95,13.15,5.68,2.18
Uruguay,52.94,27.79,13.25,5.97,2.15
Croatia,50.64,24.41,10.85,4.55,1.64
Belgium,51.45,23.26,9.38,3.58,1.24
USA,44.85,20.89,8.58,3.25,1.08
Norway,37.55,17.43,7.21,2.63,0.86
Austria,37.93,16.8,6.89,2.4,0.82
Australia,37.52,16.49,6.68,2.36,0.76
Ecuador,36.99,16.38,6.57,2.35,0.75
South Korea,40.22,16.27,5.92,1.88,0.5
Switzerland,50.06,18.22,5.93,1.71,0.45
Iran,39.85,14.69,4.87,1.37,0.36
Côte d'Ivoire,29.04,10.74,3.51,0.99,0.24
Türkiye,24.85,9.01,2.78,0.74,0.16
Paraguay,18.43,6.09,1.8,0.43,0.1
Algeria,20.2,6.62,1.88,0.48,0.09
Uzbekistan,15.77,5.13,1.43,0.34,0.08
DR Congo,13.28,4.14,1.07,0.25,0.08
Egypt,25.61,7.5,1.99,0.41,0.07
Canada,28.15,7.08,1.57,0.32,0.06
Tunisia,10.03,2.45,0.53,0.13,0.03
Scotland,10.35,2.18,0.4,0.08,0.02
Panama,12.39,2.96,0.54,0.09,0.01
South Africa,11.87,2.58,0.5,0.09,0.01
Iraq,4.32,0.95,0.17,0.03,0.0
Qatar,6.47,0.81,0.08,0.01,0.0
Curaçao,4.86,0.86,0.12,0.01,0.0
Saudi Arabia,4.13,0.69,0.11,0.02,0.0
Jordan,6.84,1.51,0.27,0.04,0.0
Bosnia & Herzegovina,4.03,0.45,0.06,0.0,0.0
Cabo Verde,3.56,0.55,0.07,0.0,0.0
New Zealand,1.81,0.18,0.02,0.0,0.0
Czechia,9.05,1.76,0.29,0.04,0.0
Sweden,5.81,1.09,0.17,0.02,0.0
Ghana,2.84,0.36,0.04,0.0,0.0
Haiti,1.89,0.22,0.03,0.0,0.0
