Seleção,Oitavas (%),Quartas (%),Semifinal (%),Final (%),Campeão (%)
Spain,68.92,47.49,32.04,20.56,13.04
Argentina,63.02,41.78,27.12,17.29,10.73
Japan,60.23,37.96,22.96,13.66,8.0
France,51.43,31.12,17.7,9.8,5.17
England,53.69,31.02,16.76,9.24,4.75
Colombia,48.22,28.27,16.13,8.85,4.73
Brazil,53.02,29.76,16.86,8.99,4.64
Morocco,52.26,29.86,16.61,9.11,4.4
Portugal,45.6,25.72,13.45,6.84,3.34
Netherlands,47.53,25.59,13.75,7.12,3.31
Senegal,43.36,23.57,12.4,5.98,3.13
Mexico,46.21,24.19,12.03,5.71,2.63
Germany,44.09,23.21,11.82,5.51,2.62
Norway,42.1,21.86,10.83,5.26,2.39
USA,43.59,22.76,11.13,5.08,2.38
Croatia,45.68,23.16,11.35,5.36,2.35
Uruguay,42.67,22.15,10.85,5.06,2.27
Austria,39.19,19.87,9.89,4.64,2.11
Belgium,43.14,21.17,9.94,4.37,1.88
Switzerland,45.78,21.69,10.26,4.42,1.78
Côte d'Ivoire,37.74,18.36,8.34,3.91,1.69
Ecuador,36.23,17.49,8.17,3.49,1.61
Australia,34.71,16.79,7.32,3.28,1.52
South Korea,38.4,18.14,7.85,3.37,1.45
Iran,36.72,16.02,6.75,2.55,1.02
Uzbekistan,29.39,13.84,6.23,2.67,0.95
Canada,39.22,16.06,6.43,2.5,0.9
Egypt,31.16,12.88,5.0,1.9,0.7
Türkiye,27.43,11.52,4.57,1.62,0.67
DR Congo,23.59,9.87,3.77,1.43,0.61
Algeria,26.0,10.81,4.23,1.65,0.6
Paraguay,26.04,10.72,4.3,1.61,0.57
Tunisia,21.37,8.48,3.11,1.14,0.4
South Africa,22.73,8.11,2.82,0.91,0.26
Panama,18.68,6.41,2.09,0.75,0.26
Jordan,15.19,5.11,1.77,0.6,0.25
Sweden,13.89,4.9,1.56,0.55,0.15
Czechia,16.27,5.28,1.46,0.41,0.13
Cabo Verde,14.75,5.13,1.68,0.56,0.11
Haiti,13.62,4.07,1.06,0.29,0.09
Iraq,11.94,4.21,1.26,0.31,0.09
Curaçao,14.26,4.7,1.54,0.47,0.07
Scotland,14.48,4.55,1.22,0.31,0.07
Ghana,13.12,3.55,0.98,0.21,0.06
Saudi Arabia,11.41,3.3,0.82,0.2,0.04
New Zealand,8.71,2.07,0.45,0.12,0.04
Bosnia & Herzegovina,11.35,2.73,0.72,0.17,0.03
Qatar,11.87,2.7,0.62,0.17,0.01
