Jogador,Gols_Simulados,Gols_Medios_Torneio
Kylian Mbappé (France),42916,4.29
Harry Kane (England),32390,3.24
Erling Haaland (Norway),31999,3.2
Mehdi Taremi (Iran),28396,2.84
Mikel Oyarzabal (Spain),27798,2.78
Jonathan David (Canada),25380,2.54
Cristiano Ronaldo (Portugal),22894,2.29
Andrej Kramarić (Croatia),22153,2.22
Luis Díaz (Colombia),20327,2.03
Lionel Messi (Argentina),20142,2.01
Ayase Ueda (Japan),19600,1.96
Lautaro Martínez (Argentina),19421,1.94
Sadio Mané (Senegal),19285,1.93
Breel Embolo (Switzerland),19025,1.9
Kai Havertz (Germany),18664,1.87
Brahim Díaz (Morocco),18383,1.84
Son Heung-min (South Korea),18234,1.82
Romelu Lukaku (Belgium),17852,1.79
Dani Olmo (Spain),17775,1.78
Raúl Jiménez (Mexico),17539,1.75
Mohamed Salah (Egypt),17412,1.74
Memphis Depay (Netherlands),16400,1.64
Cody Gakpo (Netherlands),16076,1.61
Vinícius Júnior (Brazil),16104,1.61
Darwin Núñez (Uruguay),15783,1.58
Mikel Merino (Spain),15643,1.56
Ayoub El Kaabi (Morocco),15645,1.56
Mohammad Mohebi (Iran),15355,1.54
Bruno Fernandes (Portugal),15092,1.51
Viktor Gyökeres (Sweden),14788,1.48
