Jogador,Assists_Simuladas,Assists_Medias_Torneio
Lamine Yamal (Spain),24062,2.41
Takefusa Kubo (Japan),23734,2.37
Junya Ito (Japan),23626,2.36
James Rodríguez (Colombia),20428,2.04
Achraf Hakimi (Morocco),19867,1.99
Ivan Perišić (Croatia),17887,1.79
Mikel Oyarzabal (Spain),17235,1.72
Denzel Dumfries (Netherlands),15693,1.57
Kylian Mbappé (France),15329,1.53
Joshua Kimmich (Germany),14682,1.47
Saman Ghoddos (Iran),14134,1.41
Ali Abdi (Tunisia),13887,1.39
Declan Rice (England),13843,1.38
Nico Williams (Spain),13759,1.38
Bruno Fernandes (Portugal),13665,1.37
Vinícius Júnior (Brazil),13609,1.36
Akram Afif (Qatar),13454,1.35
Salem Al-Dawsari (Saudi Arabia),13117,1.31
Mehdi Taremi (Iran),13030,1.3
Kang-in Lee (South Korea),12928,1.29
Marc Guéhi (England),12838,1.28
Lucas Paquetá (Brazil),12600,1.26
Rubén Vargas (Switzerland),12267,1.23
Remo Freuler (Switzerland),12074,1.21
Lionel Messi (Argentina),11989,1.2
Ferran Torres (Spain),11968,1.2
Fabián Ruiz (Spain),11931,1.19
Ali Ahmed (Canada),11897,1.19
Florian Wirtz (Germany),11774,1.18
Julian Ryerson (Norway),11367,1.14
