Seleção,Oitavas (%),Quartas (%),Semifinal (%),Final (%),Campeão (%)
Argentina,87.01,68.26,52.43,39.05,29.15
Spain,85.67,57.92,36.44,20.73,11.69
England,78.48,51.53,31.43,17.99,10.33
Japan,76.4,50.78,31.67,18.6,9.84
Morocco,76.45,49.38,29.62,17.27,9.32
France,69.25,43.2,25.13,12.95,5.75
Portugal,63.45,36.45,19.13,8.69,3.49
Senegal,54.47,30.7,15.69,6.7,2.69
Netherlands,58.89,32.61,16.44,7.55,2.46
Belgium,62.11,29.89,13.3,5.57,2.13
Colombia,49.86,25.73,11.92,5.35,2.02
Germany,57.11,28.35,12.18,4.98,1.64
Brazil,55.77,26.94,12.14,4.85,1.54
Austria,42.47,20.21,8.4,3.39,1.23
Mexico,48.38,22.64,9.25,3.51,1.15
Croatia,49.35,21.88,8.48,3.19,0.92
Norway,38.9,17.44,7.28,2.27,0.69
Uruguay,43.25,18.31,6.97,2.38,0.66
Australia,39.93,17.02,6.46,2.25,0.65
South Korea,39.81,15.9,5.75,1.97,0.48
USA,41.6,16.73,5.6,1.71,0.38
Switzerland,51.3,18.04,5.67,1.66,0.34
Côte d'Ivoire,38.09,15.15,5.01,1.57,0.31
Ecuador,31.97,12.47,4.47,1.34,0.29
Iran,41.26,14.77,4.83,1.15,0.29
Algeria,26.54,9.25,3.23,0.94,0.2
Egypt,30.62,10.35,3.09,0.81,0.19
Türkiye,22.52,6.82,1.88,0.55,0.07
DR Congo,12.79,3.67,0.95,0.23,0.05
Canada,32.91,9.35,2.18,0.37,0.03
South Africa,10.93,2.43,0.4,0.06,0.01
Tunisia,11.52,2.94,0.56,0.11,0.01
Paraguay,8.26,1.85,0.33,0.04,0.0
Scotland,4.77,0.86,0.1,0.0,0.0
Haiti,2.54,0.25,0.02,0.0,0.0
Qatar,3.66,0.34,0.02,0.0,0.0
Bosnia & Herzegovina,2.26,0.16,0.01,0.0,0.0
Czechia,11.93,2.33,0.37,0.07,0.0
Curaçao,1.37,0.13,0.0,0.0,0.0
Sweden,3.69,0.55,0.06,0.01,0.0
Saudi Arabia,2.47,0.27,0.03,0.0,0.0
Cabo Verde,3.28,0.29,0.02,0.0,0.0
New Zealand,0.09,0.01,0.0,0.0,0.0
Iraq,2.2,0.44,0.03,0.01,0.0
Jordan,1.5,0.17,0.01,0.0,0.0
Uzbekistan,13.12,3.64,0.79,0.1,0.0
Ghana,0.9,0.05,0.0,0.0,0.0
Panama,8.9,1.55,0.23,0.03,0.0
