Jogador,Gols_Simulados,Gols_Medios_Torneio
Kylian Mbappé (France),55620,5.56
Harry Kane (England),49501,4.95
Mikel Oyarzabal (Spain),39433,3.94
Mehdi Taremi (Iran),35249,3.52
Erling Haaland (Norway),30397,3.04
Cristiano Ronaldo (Portugal),30355,3.04
Lionel Messi (Argentina),29883,2.99
Lautaro Martínez (Argentina),28668,2.87
Brahim Díaz (Morocco),26364,2.64
Jonathan David (Canada),25959,2.6
Andrej Kramarić (Croatia),25799,2.58
Romelu Lukaku (Belgium),25176,2.52
Dani Olmo (Spain),25088,2.51
Ayase Ueda (Japan),23396,2.34
Kai Havertz (Germany),23247,2.32
Breel Embolo (Switzerland),22628,2.26
Mikel Merino (Spain),22471,2.25
Ayoub El Kaabi (Morocco),22223,2.22
Sadio Mané (Senegal),21432,2.14
Kevin De Bruyne (Belgium),21080,2.11
Memphis Depay (Netherlands),21019,2.1
Cody Gakpo (Netherlands),20047,2.0
Bruno Fernandes (Portugal),19653,1.97
Bukayo Saka (England),19404,1.94
Mohammad Mohebi (Iran),18809,1.88
Luis Díaz (Colombia),18686,1.87
Rodri (Spain),18281,1.83
Son Heung-min (South Korea),18098,1.81
Mohamed Salah (Egypt),17937,1.79
Vinícius Júnior (Brazil),17207,1.72
