Jogador,Assists_Simuladas,Assists_Medias_Torneio
Lamine Yamal (Spain),34096,3.41
Takefusa Kubo (Japan),28941,2.89
Junya Ito (Japan),28875,2.89
Achraf Hakimi (Morocco),28472,2.85
Mikel Oyarzabal (Spain),24687,2.47
Declan Rice (England),21457,2.15
Ivan Perišić (Croatia),20957,2.1
Kylian Mbappé (France),19827,1.98
Marc Guéhi (England),19815,1.98
Denzel Dumfries (Netherlands),19608,1.96
Nico Williams (Spain),19539,1.95
James Rodríguez (Colombia),18888,1.89
Joshua Kimmich (Germany),18717,1.87
Bruno Fernandes (Portugal),17777,1.78
Saman Ghoddos (Iran),17471,1.75
Lionel Messi (Argentina),17543,1.75
Ferran Torres (Spain),17150,1.72
Fabián Ruiz (Spain),16973,1.7
Jude Bellingham (England),16915,1.69
Nicolás González (Argentina),16394,1.64
Mehdi Taremi (Iran),16159,1.62
Jérémy Doku (Belgium),15880,1.59
Azzedine Ounahi (Morocco),14908,1.49
Florian Wirtz (Germany),14645,1.46
Rubén Vargas (Switzerland),14379,1.44
Remo Freuler (Switzerland),14290,1.43
Vinícius Júnior (Brazil),14157,1.42
Cody Gakpo (Netherlands),14187,1.42
Alexis Saelemaekers (Belgium),14070,1.41
Nuno Mendes (Portugal),13876,1.39
