Seleção,Oitavas (%),Quartas (%),Semifinal (%),Final (%),Campeão (%)
Argentina,96.06,86.22,75.78,65.38,56.49
Portugal,87.94,63.82,43.09,25.86,13.88
Senegal,82.44,60.56,40.4,23.83,11.37
Japan,71.86,45.54,25.96,12.18,4.53
Morocco,69.45,41.83,22.5,10.12,3.37
England,65.28,36.05,17.04,6.81,1.77
Türkiye,56.88,30.92,14.56,5.32,1.02
Norway,46.38,25.56,12.4,5.16,1.0
Côte d'Ivoire,46.6,22.9,9.91,3.5,0.81
Austria,39.04,20.81,10.35,4.13,0.74
Spain,57.06,26.96,11.48,3.75,0.7
Belgium,50.66,23.81,9.75,3.31,0.57
Australia,41.78,19.65,7.92,2.55,0.42
South Korea,40.06,18.2,6.89,1.98,0.4
Algeria,29.88,14.32,6.39,2.61,0.28
Netherlands,37.7,17.03,7.04,2.15,0.28
Mexico,32.23,13.22,4.75,1.48,0.26
France,29.27,13.85,5.58,1.68,0.22
Iran,44.38,18.74,6.92,2.06,0.19
Egypt,36.93,14.7,5.13,1.51,0.16
Germany,37.01,15.67,5.43,1.53,0.16
Switzerland,39.7,13.64,3.68,0.98,0.15
Colombia,24.4,10.36,3.85,1.15,0.12
Ecuador,24.85,9.57,3.24,0.92,0.12
Haiti,28.66,10.68,3.52,0.97,0.12
Tunisia,24.65,9.46,3.05,0.87,0.1
Uzbekistan,20.75,8.49,3.09,0.87,0.09
Croatia,31.63,11.22,3.49,0.88,0.09
DR Congo,20.23,8.26,2.79,0.95,0.09
South Africa,25.59,9.23,2.96,0.69,0.08
Uruguay,27.13,9.41,2.72,0.68,0.08
Brazil,23.11,7.57,2.32,0.62,0.08
USA,25.37,9.16,2.83,0.77,0.07
Canada,33.37,11.38,3.09,0.68,0.05
Czechia,24.35,8.2,2.35,0.58,0.05
Cabo Verde,23.7,7.98,2.35,0.51,0.04
Jordan,4.86,1.56,0.38,0.1,0.01
Iraq,8.65,2.71,0.84,0.24,0.01
Panama,13.41,3.43,0.81,0.11,0.01
Paraguay,7.41,1.62,0.35,0.08,0.01
Sweden,9.28,2.35,0.57,0.1,0.01
Scotland,8.31,1.95,0.33,0.06,0.0
Bosnia & Herzegovina,9.82,1.77,0.17,0.0,0.0
Qatar,10.02,1.69,0.23,0.02,0.0
Saudi Arabia,7.98,1.68,0.35,0.04,0.0
New Zealand,1.24,0.13,0.0,0.0,0.0
Curaçao,15.05,4.52,1.07,0.18,0.0
Ghana,7.59,1.62,0.3,0.05,0.0
