Jogador,Gols_Simulados,Gols_Medios_Torneio
Cristiano Ronaldo (Portugal),48753,4.88
Lionel Messi (Argentina),42238,4.22
Lautaro Martínez (Argentina),40910,4.09
Harry Kane (England),39799,3.98
Sadio Mané (Senegal),36526,3.65
Erling Haaland (Norway),35828,3.58
Mehdi Taremi (Iran),34373,3.44
Bruno Fernandes (Portugal),31777,3.18
Kylian Mbappé (France),29946,2.99
Jonathan David (Canada),25010,2.5
Julián Alvarez (Argentina),23789,2.38
Mikel Oyarzabal (Spain),23599,2.36
Ayase Ueda (Japan),22494,2.25
João Félix (Portugal),22328,2.23
Brahim Díaz (Morocco),22210,2.22
Romelu Lukaku (Belgium),20477,2.05
Andrej Kramarić (Croatia),19962,2.0
Alexis Mac Allister (Argentina),19387,1.94
Mohamed Salah (Egypt),18828,1.88
Ayoub El Kaabi (Morocco),18843,1.88
Son Heung-min (South Korea),18358,1.84
Mohammad Mohebi (Iran),18331,1.83
Breel Embolo (Switzerland),18162,1.82
Kevin De Bruyne (Belgium),17196,1.72
Duckens Nazon (Haiti),16905,1.69
Frantzdy Pierrot (Haiti),16944,1.69
Nicolas Jackson (Senegal),16928,1.69
Kai Havertz (Germany),16588,1.66
Kerem Aktürkoğlu (Türkiye),16375,1.64
Memphis Depay (Netherlands),15831,1.58
